rank_hoa2,Gene,Distance_hoa2,boxcox-transformed distance_hoa2,Z_hoa2,FC_hoa2,p-value_hoa2,adjusted p-value_hoa2,rank_hoa3,Distance_hoa3,boxcox-transformed distance_hoa3,Z_hoa3,FC_hoa3,p-value_hoa3,adjusted p-value_hoa3,mean_rank,max_rank,replicated_top50,replicated_fdr_0_05,replicated_nominal_0_05
43,MT-CO2,9.109758837247596e-06,-10.363361049194198,1.3211695404830615,0.20486883931339392,0.6508192322836092,0.9999999999964178,78,3.0223640545788814e-08,-14.63991155570779,0.5891418812843987,5.92040312254878e-07,0.9993860745204511,0.9999999999972699,60.5,78,False,False,False
116,ATP13A3,1.4949755618023574e-08,-15.141956568664224,0.5550419097620015,5.517347442978401e-07,0.9994073405845478,0.9999999999964178,7,2.0516391847827435e-05,-9.710821654288518,1.3846710968724074,0.2728096311524979,0.6014532448343914,0.9999999999972699,61.5,116,False,False,False
74,PLAUR,6.078303677719116e-08,-14.14817955150193,0.7143690653083304,9.12067404028747e-06,0.9975903560888298,0.9999999999964178,51,9.134135066432115e-06,-10.357967556760359,1.280225147932385,0.05407450922433297,0.8161191947442094,0.9999999999972699,62.5,74,False,False,False
61,ACKR1,1.0149263599689166e-07,-13.777962013429017,0.7737241381826802,2.542911298399344e-05,0.9959765016591319,0.9999999999964178,69,4.0592443000766223e-08,-14.430514165863713,0.6229375199561281,1.0679430827761553e-06,0.9991754556165758,0.9999999999972699,65.0,69,False,False,False
79,SOD2,5.760353744570292e-08,-14.186758975673724,0.70818382474656,8.191443792355815e-06,0.9977164017771357,0.9999999999964178,52,8.752296301856454e-06,-10.391828504884126,1.2747601687904524,0.049647999274877806,0.8236769169022865,0.9999999999972699,65.5,79,False,False,False
88,KIAA0040,4.802948133626227e-08,-14.316975867140643,0.6873068205864599,5.694792972233541e-06,0.9980959488127491,0.9999999999964178,47,9.827886796357613e-06,-10.299851993399896,1.2896046945542252,0.0626005312471785,0.8024319261035029,0.9999999999972699,67.5,88,False,False,False
80,GADD45G,5.759310727645172e-08,-14.186888936829217,0.7081629887432328,8.188477640834979e-06,0.997716815263043,0.9999999999964178,63,8.057018118252457e-08,-13.939040023678546,0.7022588645925439,4.2073283680145714e-06,0.9983633984383712,0.9999999999972699,71.5,80,False,False,False
71,C7,6.55248760136653e-08,-14.094169794716588,0.7230281716991477,1.05992360096657e-05,0.9974023742810584,0.9999999999964178,74,3.5535814873836744e-08,-14.52511566805156,0.6076693344829283,8.184464805377156e-07,0.9992781696390513,0.9999999999972699,72.5,74,False,False,False
4,FKBP8,1.0993071933755066e-05,-10.213917517771662,1.3451290528939452,0.29833230696758894,0.5849298082183276,0.9999999999964178,142,5.888263246285896e-09,-15.779001430107872,0.40529875965563383,2.24715051983935e-08,0.9998803931255446,0.9999999999972699,73.0,142,False,False,False
89,CXCL3,4.662954822033061e-08,-14.338122487766936,0.6839164917142694,5.367654605056774e-06,0.998151446798496,0.9999999999964178,58,5.8406973830011335e-06,-10.711123471720835,1.223227638528493,0.02210991833847571,0.8817950622054707,0.9999999999972699,73.5,89,False,False,False
130,NFKB1,1.1231646504813393e-08,-15.341181933454594,0.5231011321664721,3.1142179216149203e-07,0.9995547391215752,0.9999999999964178,20,1.7478725854062363e-05,-9.839801298137898,1.3638544599373064,0.19800550712671758,0.6563355825659767,0.9999999999972699,75.0,130,False,False,False
144,SYNJ2,8.261792907149661e-09,-15.553872550173553,0.4890015400165241,1.6850421003264333e-07,0.9996724742669519,0.9999999999964178,6,2.067087886298288e-05,-9.704773278070263,1.3856472730194693,0.2769335748226722,0.5987181402698101,0.9999999999972699,75.0,144,False,False,False
91,DUSP4,4.655336514121249e-08,-14.339291049084451,0.683729142291224,5.3501296483769015e-06,0.9981544669483543,0.9999999999964178,60,5.2671966684790856e-06,-10.792299348721302,1.2101262784303022,0.017981122387923373,0.8933284754030033,0.9999999999972699,75.5,91,False,False,False
101,RHEB,3.9867111379383676e-08,-14.449924711595171,0.6659918164614932,3.923662879372325e-06,0.9984195323153674,0.9999999999964178,53,8.140675088539392e-06,-10.449206347668783,1.265499686394003,0.042951523307459105,0.8358165784128622,0.9999999999972699,77.0,101,False,False,False
54,PECAM1,5.782900912870178e-06,-10.72245587883229,1.2635977142186519,0.08255695167960371,0.7738617553289188,0.9999999999964178,101,1.6481167239205202e-08,-15.066561112192035,0.5202828842303678,1.7604903979324286e-07,0.9996652220242284,0.9999999999972699,77.5,101,False,False,False
21,VCP,9.823109885507034e-06,-10.303472685595667,1.3307711336550638,0.23821008902454596,0.6255018820878793,0.9999999999964178,144,5.884003493742278e-09,-15.779497231513725,0.4052187399133743,2.2439003789094694e-08,0.9998804796528723,0.9999999999972699,82.5,144,False,False,False
96,HSPE1,4.556028527151334e-08,-14.354697618436653,0.6812590863035912,5.124305532327547e-06,0.9981938359295704,0.9999999999964178,70,3.742388536465261e-08,-14.488334728291472,0.6136055849350671,9.077274656622968e-07,0.9992398177338887,0.9999999999972699,83.0,96,False,False,False
70,ATP5F1B,6.848803827430745e-08,-14.062331699531105,0.7281326096729712,1.1579547814139167e-05,0.9972849050403869,0.9999999999964178,97,1.7383505185025165e-08,-15.029265014566205,0.526302278455705,1.9585399334000742e-07,0.9996468930522951,0.9999999999972699,83.5,97,False,False,False
