"task_id","auc","type"
596,0.37,"label permutation"
597,0.43,"label permutation"
598,0.43,"label permutation"
599,0.473333333333333,"label permutation"
600,0.63,"label permutation"
601,0.703333333333333,"label permutation"
602,0.46,"label permutation"
603,0.73,"label permutation"
604,0.466666666666667,"label permutation"
605,0.2,"label permutation"
606,0.438333333333333,"label permutation"
607,0.763333333333333,"label permutation"
608,0.343333333333333,"label permutation"
609,0.69,"label permutation"
610,0.3,"label permutation"
611,0.653333333333333,"label permutation"
612,0.426666666666667,"label permutation"
613,0.346666666666667,"label permutation"
614,0.49,"label permutation"
615,0.53,"label permutation"
616,0.663333333333333,"label permutation"
617,0.63,"label permutation"
618,0.323333333333333,"label permutation"
619,0.403333333333333,"label permutation"
620,0.5,"label permutation"
621,0.413333333333333,"label permutation"
622,0.573333333333333,"label permutation"
623,0.466666666666667,"label permutation"
624,0.55,"label permutation"
625,0.603333333333333,"label permutation"
626,0.203333333333333,"label permutation"
627,0.343333333333333,"label permutation"
628,0.733333333333333,"label permutation"
629,0.6,"label permutation"
630,0.566666666666667,"label permutation"
631,0.433333333333333,"label permutation"
632,0.516666666666667,"label permutation"
633,0.308333333333333,"label permutation"
634,0.55,"label permutation"
635,0.57,"label permutation"
636,0.293333333333333,"label permutation"
637,0.283333333333333,"label permutation"
638,0.776666666666667,"label permutation"
639,0.44,"label permutation"
640,0.5,"label permutation"
641,0.37,"label permutation"
642,0.77,"label permutation"
643,0.26,"label permutation"
644,0.526666666666667,"label permutation"
645,0.563333333333333,"label permutation"
646,0.496666666666667,"label permutation"
647,0.71,"label permutation"
648,0.486666666666667,"label permutation"
649,0.69,"label permutation"
650,0.516666666666667,"label permutation"
651,0.63,"label permutation"
652,0.426666666666667,"label permutation"
653,0.48,"label permutation"
654,0.69,"label permutation"
655,0.366666666666667,"label permutation"
656,0.373333333333333,"label permutation"
657,0.643333333333333,"label permutation"
658,0.363333333333333,"label permutation"
659,0.606666666666667,"label permutation"
660,0.623333333333333,"label permutation"
661,0.423333333333333,"label permutation"
662,0.506666666666667,"label permutation"
663,0.365,"label permutation"
664,0.583333333333333,"label permutation"
665,0.533333333333333,"label permutation"
666,0.516666666666667,"label permutation"
667,0.42,"label permutation"
668,0.636666666666667,"label permutation"
669,0.646666666666667,"label permutation"
670,0.383333333333333,"label permutation"
671,0.623333333333333,"label permutation"
672,0.523333333333333,"label permutation"
673,0.34,"label permutation"
674,0.353333333333333,"label permutation"
675,0.3,"label permutation"
676,0.453333333333333,"label permutation"
677,0.743333333333333,"label permutation"
678,0.646666666666667,"label permutation"
679,0.53,"label permutation"
680,0.42,"label permutation"
681,0.69,"label permutation"
682,0.386666666666667,"label permutation"
683,0.446666666666667,"label permutation"
684,0.776666666666667,"label permutation"
685,0.286666666666667,"label permutation"
686,0.516666666666667,"label permutation"
687,0.39,"label permutation"
688,0.533333333333333,"label permutation"
689,0.643333333333333,"label permutation"
690,0.393333333333333,"label permutation"
691,0.34,"label permutation"
692,0.66,"label permutation"
693,0.273333333333333,"label permutation"
694,0.355,"label permutation"
695,0.531666666666667,"label permutation"
696,0.503333333333333,"label permutation"
697,0.323333333333333,"label permutation"
698,0.58,"label permutation"
699,0.293333333333333,"label permutation"
700,0.583333333333333,"label permutation"
701,0.593333333333333,"label permutation"
702,0.396666666666667,"label permutation"
703,0.496666666666667,"label permutation"
704,0.43,"label permutation"
705,0.496666666666667,"label permutation"
706,0.596666666666667,"label permutation"
707,0.473333333333333,"label permutation"
708,0.503333333333333,"label permutation"
709,0.573333333333333,"label permutation"
710,0.416666666666667,"label permutation"
711,0.4,"label permutation"
712,0.49,"label permutation"
713,0.436666666666667,"label permutation"
714,0.443333333333333,"label permutation"
715,0.4,"label permutation"
716,0.556666666666667,"label permutation"
717,0.59,"label permutation"
718,0.513333333333333,"label permutation"
719,0.683333333333333,"label permutation"
720,0.396666666666667,"label permutation"
721,0.303333333333333,"label permutation"
722,0.623333333333333,"label permutation"
723,0.783333333333333,"label permutation"
724,0.47,"label permutation"
725,0.623333333333333,"label permutation"
726,0.346666666666667,"label permutation"
727,0.306666666666667,"label permutation"
728,0.726666666666667,"label permutation"
