"task_id","auc","average_precision","brier"
211,0.853333333333333,0.882436876813127,0.107034276391298
212,0.913333333333333,0.968164595193092,0.122236486401875
213,0.94,0.97545499919002,0.109824780941178
214,0.863333333333333,0.925530209789099,0.134002862667828
215,0.883333333333333,0.92646306764349,0.101354640387832
216,0.873333333333333,0.9066790664792,0.12505447760304
217,0.853333333333333,0.932377779910158,0.130090369228512
218,0.893333333333333,0.930342749230758,0.109934775644684
219,0.883333333333333,0.909436476950233,0.10542407751039
220,0.893333333333333,0.922802346925298,0.104795204631997
221,0.906666666666667,0.959181201361624,0.109916128546779
222,0.873333333333333,0.945558438404284,0.106883275830568
223,0.983333333333333,0.994819159335288,0.100283216383055
224,0.913333333333333,0.965019976113442,0.0988942776426412
225,0.906666666666667,0.956094289716917,0.11822107103126
226,0.89,0.911691235814187,0.0939236580225306
227,0.91,0.949340765103774,0.0938529320157859
228,0.946666666666667,0.979415796281746,0.108536284695262
229,0.94,0.980823628309029,0.110434608990699
230,0.916666666666667,0.9644664730891,0.108926767995492
231,0.846666666666667,0.93273992205427,0.128673376057362
232,0.876666666666667,0.950601585616549,0.141913674670355
233,0.86,0.929848285302197,0.123124747261628
234,0.853333333333333,0.898573412999719,0.119192622901179
235,0.92,0.962734435703327,0.111913536059549
236,0.893333333333333,0.935824300330316,0.117561348998751
237,0.883333333333333,0.95012921514788,0.124691780493032
238,0.933333333333333,0.968190784909676,0.0983159859097382
239,0.813333333333333,0.915106607662475,0.117905067036231
240,0.83,0.910048588679683,0.118848570347987
241,0.896666666666667,0.937009415897425,0.140888885121641
242,0.903333333333333,0.950420745946686,0.117710195726135
243,0.97,0.989226812672215,0.101819092129959
244,0.89,0.948764300317307,0.136593147085275
245,0.833333333333333,0.90870269776548,0.113032062826733
246,0.87,0.93711624997722,0.113494786774888
247,0.903333333333333,0.950203637159597,0.103073645992365
248,0.93,0.973191417724782,0.0902449283738503
249,0.9,0.961264379440685,0.100282702299777
250,0.903333333333333,0.938875143860164,0.11290316482855
251,0.936666666666667,0.974563733592872,0.101509088006246
252,0.89,0.956911055561499,0.107701605422715
253,0.936666666666667,0.974382202255154,0.0785148707756422
254,0.903333333333333,0.95952553591312,0.112250285211317
255,0.886666666666667,0.933569541466362,0.109850960301399
256,0.886666666666667,0.933129734310157,0.112997493623249
257,0.853333333333333,0.920247185412909,0.120187702304182
258,0.896666666666667,0.961055547504335,0.112558539641913
259,0.843333333333333,0.929406588720937,0.107819211324929
260,0.89,0.957968663627977,0.113626907222834
261,0.933333333333333,0.969807917776809,0.0928026085240155
262,0.893333333333333,0.961120474779788,0.1085687552901
263,0.94,0.980822945987944,0.106318361243438
264,0.916666666666667,0.967540546265087,0.104126901592712
265,0.97,0.990888602044789,0.0987281767716206
266,0.84,0.911129950769914,0.128402620318129
267,0.936666666666667,0.976195198439347,0.106543984106188
