"donor","state","gene","PC1","PC2"
"hoa2","WT","SRGN",0.00520041549880629,0.00077443648374775
"hoa2","WT","SYBU",0.00119564765310721,0.0010442684475656
"hoa2","WT","SYNJ2",0.00555209084974044,0.000995002801969075
"hoa2","WT","SYT11",0.00739496277483367,0.000267261220970496
"hoa2","WT","TAGLN",0.000407295117278371,0.00206764363914174
"hoa2","WT","TAX1BP1",-0.00270342013265356,0.00388176062259657
"hoa2","WT","TBK1",-0.00361425853685985,0.00454735788901419
"hoa2","WT","TCF15",0.00356017785819886,0.00218656367942684
"hoa2","WT","TEAD1",-0.0035779262634029,0.00455896281909625
"hoa2","WT","TEAD4",-0.0026826529028504,0.00491244979306478
"hoa2","WT","TEK",0.00178949969405176,-0.00325723646433756
"hoa2","WT","TFAM",-0.0117951198136664,0.00798170490478481
"hoa2","WT","THBS1",0.00180662060336235,0.00289438383555217
"hoa2","WT","THY1",-0.00507157802857194,0.00531079525160786
"hoa2","WT","TIMP4",-0.00114074425606685,-0.00405704017787267
"hoa2","WT","TIPARP",-0.00635173445006514,0.00526525586652289
"hoa2","WT","TLCD2",1.95428217081824e-05,3.80702570565846e-05
"hoa2","WT","TM6SF1",0.00656874440952235,0.000396967461874634
"hoa2","WT","TMEM161B-AS1",-0.0387032012256919,0.00788963449490412
"hoa2","WT","TMEM173",0.000704177283968666,0.00315892912431189
"hoa2","WT","TNFAIP3",-0.00967737820283143,0.00658485128902399
"hoa2","WT","TNFRSF4",0.00526535763016421,0.000955167427634234
"hoa2","WT","TRAP1",-0.0063433888940566,0.00566872773349653
"hoa2","WT","TRDMT1",-0.0115189971063475,-0.0163244748268775
"hoa2","WT","TSC1",0.000609159419080741,0.000661670797773789
"hoa2","WT","TSC2",0.0028046655004438,0.0012329709443651
"hoa2","WT","TSPAN13",0.00808189633444908,-0.000371081112567168
"hoa2","WT","TTC21B",-0.0035458186279508,0.00358579777187384
"hoa2","WT","TXN2",-0.0062994812321554,0.00605577189564596
"hoa2","WT","ULK1",-0.000218126896647997,0.00334525247749294
"hoa2","WT","UQCRB",-0.0182505254884333,0.0104545360382452
"hoa2","WT","UQCRC1",-0.00675565791645067,0.00488126403859737
"hoa2","WT","UQCRC2",-0.00893993276607589,0.00657544450042401
"hoa2","WT","VCAM1",-0.00589272882010666,-0.00379770892348463
"hoa2","WT","VCAN",0.0189187783149183,0.000177768820334722
"hoa2","WT","VCP",-0.00906877239798132,0.00693178862534399
"hoa2","WT","VDAC1",-0.00747385293453574,0.00601205124456148
"hoa2","WT","VDAC2",-0.00580273802337468,0.00580839875046856
"hoa2","WT","VDAC3",-0.0041993343475754,0.00468652511579064
