"donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"hoa3","CREB5",0.012,0,0.012
"hoa3","DEPP1",-0.012,0,0.012
"hoa3","FMO2",-0.012,0,0.012
"hoa3","KIAA0040",0.012,0,0.012
"hoa3","RCAN1",0.012,0,0.012
"hoa3","TEAD4",0.012,0,0.012
"hoa3","CD300LG",-0.011,0,0.011
"hoa3","NDUFA1",-0.011,0,0.011
"hoa3","SLC4A7",0.011,0,0.011
"hoa3","FIS1",-0.01,0,0.01
"hoa3","PRDX1",-0.01,0,0.01
"hoa3","SEMA4A",0.01,0,0.01
"hoa3","H19",0.009,0,0.009
"hoa3","HSPE1",-0.009,0,0.009
"hoa3","MTFR1L",0.009,0,0.009
"hoa3","NDUFB8",-0.009,0,0.009
"hoa3","PRDX5",-0.009,0,0.009
"hoa3","VEGFC",0.009,0,0.009
"hoa3","ANKRD42",0.008,0,0.008
"hoa3","GPRC5A",0.008,0,0.008
"hoa3","IL32",0.008,0,0.008
"hoa3","SEMA3A",-0.008,0,0.008
"hoa3","VDAC3",-0.008,0,0.008
"hoa3","BMP4",-0.007,0,0.007
"hoa3","DDHD1",0.007,0,0.007
"hoa3","FAM184A",-0.007,0,0.007
"hoa3","MEOX2",-0.007,0,0.007
