"variant","donor","state","gene","PC1","PC2"
"primary","hoa3","KO","CGAS",-0.00577835234142688,-0.000931795111708501
"primary","hoa3","KO","CKS2",-0.0076567025614389,-0.000492220327506255
"primary","hoa3","KO","CLDN5",0.00211195484862223,-0.00752466597375048
"primary","hoa3","KO","CLPP",0.00765994751006696,0.00018537107845631
"primary","hoa3","KO","CNKSR3",0.00567749661818071,0.00548459824220933
"primary","hoa3","KO","COX4I1",0.0103069014727729,-0.00225355706845478
"primary","hoa3","KO","COX5A",0.0060138253168078,-0.00414143831313441
"primary","hoa3","KO","COX6C",0.0221713241235033,0.00345203745225943
"primary","hoa3","KO","COX7A2",-0.0337649884993211,-0.0187554008966782
"primary","hoa3","KO","CR381670.1",-0.0483526658454209,-0.0276115364770538
"primary","hoa3","KO","CREB5",-0.00470999290604483,-0.000895931216406971
"primary","hoa3","KO","CRIP1",0.00473321303602626,-0.00591836456659231
"primary","hoa3","KO","CX3CL1",-0.00251260178468958,-0.00408062828321167
"primary","hoa3","KO","CXCL12",0.00247248341734613,-0.0066983168643961
"primary","hoa3","KO","CXCL2",-0.00872628862564815,0.000144029758200688
"primary","hoa3","KO","CXCL3",-0.00606292426819936,-0.000285901484100473
"primary","hoa3","KO","CXCR4",-5.60857658497513e-14,-2.72965137232728e-14
