TF,Liao_KW_p,Liao_KW_method,ONFH_3A_vs_HOA_effect,ONFH_3A_vs_HOA_hodges_lehmann,ONFH_3A_vs_HOA_rank_biserial,ONFH_3A_vs_HOA_p,ONFH_3A_vs_HOA_minimum_p_no_ties,ONFH_4_vs_ONFH_3A_effect,ONFH_4_vs_ONFH_3A_hodges_lehmann,ONFH_4_vs_ONFH_3A_rank_biserial,ONFH_4_vs_ONFH_3A_p,ONFH_4_vs_ONFH_3A_minimum_p_no_ties,ONFH_4_vs_HOA_effect,ONFH_4_vs_HOA_hodges_lehmann,ONFH_4_vs_HOA_rank_biserial,ONFH_4_vs_HOA_p,ONFH_4_vs_HOA_minimum_p_no_ties,SONFH_libraries_vs_HOA_effect_descriptive,Liao_KW_fdr,ONFH_3A_vs_HOA_fdr,ONFH_4_vs_ONFH_3A_fdr,ONFH_4_vs_HOA_fdr
ESR1,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.06525034645467809,-0.06525034645467809,-0.11111111111111116,1.0,0.1,0.08507173408684254,0.2125737416736062,0.33333333333333326,0.7,0.1,0.019821387632164456,0.019821387632164456,0.33333333333333326,0.7,0.1,0.04316885050225516,0.9764359351988219,1.0,1.0,1.0
ESR2,0.3392857142857143,"exhaustive permutation, tie-corrected",-0.728388209421448,-0.728388209421448,-0.5555555555555556,0.4,0.1,0.8035408256934806,0.39200092475161563,0.7777777777777777,0.2,0.1,0.07515261627203262,0.04703865032230725,0.11111111111111116,1.0,0.1,-0.9225776624281714,0.9764359351988219,1.0,1.0,1.0
ETS1,0.9285714285714286,"exhaustive permutation, tie-corrected",-0.03169134117906447,-0.03169134117906447,-0.11111111111111116,1.0,0.1,0.07399299828000627,0.07399299828000627,0.11111111111111116,1.0,0.1,0.0423016571009418,0.0423016571009418,0.33333333333333326,0.7,0.1,0.3158205881446068,0.9764359351988219,1.0,1.0,1.0
ETS2,0.6285714285714286,"exhaustive permutation, tie-corrected",0.20403062589130894,0.20403062589130894,0.33333333333333326,0.7,0.1,-0.1172586210089559,-0.1172586210089559,-0.33333333333333337,0.7,0.1,0.08677200488235304,0.14064669962321386,0.5555555555555556,0.4,0.1,-0.1826491716409797,0.9764359351988219,1.0,1.0,1.0
ETV4,0.23214285714285715,"exhaustive permutation, tie-corrected",0.049889789854155264,0.07336357057685472,1.0,0.1,0.1,-0.05775382317515865,-0.05775382317515865,-0.5555555555555556,0.4,0.1,-0.007864033321003383,-0.007864033321003383,-0.11111111111111116,1.0,0.1,0.6839418434271303,0.9764359351988219,1.0,1.0,1.0
FLI1,0.4392857142857143,"exhaustive permutation, tie-corrected",-0.041147051307953764,-0.041147051307953764,-0.11111111111111116,1.0,0.1,-0.20653714449853824,-0.20653714449853824,-0.33333333333333337,0.7,0.1,-0.247684195806492,-0.247684195806492,-0.7777777777777778,0.2,0.1,-0.14472920604560668,0.9764359351988219,1.0,1.0,1.0
FOS,0.9285714285714286,"exhaustive permutation, tie-corrected",0.11907934441127721,0.11907934441127721,0.11111111111111116,1.0,0.1,-0.044529142307845326,-0.014888713971270562,-0.11111111111111116,1.0,0.1,0.07455020210343188,0.08177703474243714,0.33333333333333326,0.7,0.1,0.41534194949170056,0.9764359351988219,1.0,1.0,1.0
FOSL1,0.025,"exhaustive permutation, tie-corrected",0.2294967749150275,0.20451397006598626,1.0,0.1,0.1,0.24301362551313965,0.17303319015589114,0.5555555555555556,0.4,0.1,0.47251040042816717,0.3775471602218774,1.0,0.1,0.1,0.06322763173935686,0.8500000000000001,1.0,1.0,1.0
FOXA1,0.5107142857142857,"exhaustive permutation, tie-corrected",0.0599833492033639,0.0599833492033639,0.11111111111111116,1.0,0.1,-0.24285735212007675,-0.24285735212007675,-0.33333333333333337,0.7,0.1,-0.18287400291671285,-0.1366139578687675,-0.7777777777777778,0.2,0.1,0.2261293333031884,0.9764359351988219,1.0,1.0,1.0
FOXL2,0.23214285714285715,"exhaustive permutation, tie-corrected",-0.5234257665906636,-0.5234257665906636,-0.7777777777777778,0.2,0.1,0.07767578670818387,0.07767578670818387,0.11111111111111116,1.0,0.1,-0.4457499798824798,-0.4457499798824798,-0.7777777777777778,0.2,0.1,-1.2431400457623838,0.9764359351988219,1.0,1.0,1.0
