,baseMean,log2FoldChange,inferential_status
COL4A2,5460.902170873053,1.477209147002899,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS25,7460.947290554132,-1.410171963963317,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TACO1,29.11194790677229,-2.9563040685216664,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL13A,12093.150723602348,-1.051976715714806,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ADAMTS6,516.3446655740748,1.934614209600076,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TIPARP,703.3916041352059,-2.6372913019005835,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
APLNR,2516.477231256375,2.4972719161726014,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SRD5A3,77.76442210748476,-2.1392360441976046,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RASA4B,79.5326270142938,3.6339538623111287,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NAV3,179.30856962663185,-2.0943010229399124,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL1A1,2198.826478409307,5.127668317586461,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL15,12872.64180869353,-1.0069404387673748,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
FMO2,233.06171155215273,-6.226267491668529,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
P4HA2,89.99786671996705,2.2683154467028688,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PRKAG1,79.4478688811265,-2.4596390766834006,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HBA1,13.84504863248763,-6.780076348253387,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
FOSL1,203.93820897237197,-2.644062289828791,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
FAP,256.56552199161433,2.1229367505542385,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CTSB,1313.777763685061,1.4482505796972598,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PDGFB,833.8541790855124,2.0244662223167484,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
GPNMB,44.526791335178686,3.8844500249673857,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ELOVL1,495.9519109616861,1.207726203840077,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ARL5B,679.7759418657167,-1.9095887497686361,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
WASF3,118.55111524747561,-2.2050603415996024,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PPP1R14A,128.37634587053782,-3.052812299451978,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ATP1B3,1933.8825916074443,1.486956159823863,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TSC22D2,768.0948598397044,-1.7215122827172167,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CCRL2,189.08887297709367,-2.507970876793963,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MRC1,343.69855198407726,-2.7029122452328287,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CD36,3005.26243646529,-5.778997706920699,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LTBP1,232.76809961607972,2.1539300781900073,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MFAP3,210.68817739142892,2.0020567595670404,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SOCS3,4820.727905010402,-1.7612446132852926,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
INMT,135.97188567384683,-1.6608527055465874,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS20,6733.769737368276,-1.0873835261719167,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NRCAM,61.47073225946001,7.630787757433343,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HNRNPA1L2,16.514446520656477,-9.005969395360468,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LUM,691.8183174601629,6.009384600249914,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TCF7L1,374.0765557431779,-1.4228460748667422,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TNC,99.25956059268802,4.36873091988517,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CDH13,1138.9157621462095,2.620712434364128,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SERTAD1,1037.487979017433,-1.3007491671694094,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MYO5A,648.9818653078659,1.8584815899384632,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
KHDRBS3,93.3726237665001,-2.907164338590592,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MME,44.60874091905161,-3.8140159875503565,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
JPT1,474.3798669507491,1.2109185023119136,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MEG3,246.06430538533166,6.058808213837863,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PDLIM4,341.6156025108808,1.6246653566094162,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
FABP4,22748.36537353011,-4.603708267819715,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL23A,8432.220241704239,-1.4789424776747178,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PGF,428.35819811774627,1.6364532530764468,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL13A1,185.09282597720352,2.443275804785229,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SCD5,128.57950675407557,2.306576966424277,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
BHMT2,58.07662948933349,-2.4819155350237847,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RBM8A,1277.816245408718,-1.353234974694248,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PSEN2,32.00954851712834,-2.7097299509438244,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ADAMTS7,134.11663839081365,2.5936546093355575,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ST6GALNAC3,234.03737475769088,-1.6948985366528124,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MCAM,1300.183825053773,1.5153135293459878,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CDKN2A,46.95837147199397,3.4667316388112344,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LRTOMT,11.219254403726739,-5.17561891806804,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RCAN2,242.49135727625517,2.480571991877783,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CRHBP,441.40021769777957,-6.154655263329763,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PTGS1,40.01568448188109,3.265977557712644,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CASC15,509.76854080391524,1.6566046411255841,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
DPEP1,13.485474781608774,-5.108215528399017,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
GLIPR2,97.42706040787509,2.197882398800056,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RAB5A,596.4007416184231,-1.2709195527720807,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS4X,19374.42329122187,-1.1856502578814385,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MBOAT7,275.20768451136956,1.7530047018136634,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NSUN6,364.96310891190996,-1.8124003048280493,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TNFSF9,107.37649113245986,-3.0349297206295853,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NR1D1,157.71531602158652,2.02170427357069,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SERINC5,224.14466569496076,-1.304167928051114,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
L3MBTL4,16.5708598682541,-4.641173612636099,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL15A1,5394.503179367283,1.8950390270605626,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PPARG,427.82296067374415,-2.2009293888398713,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS13,12542.038252751281,-1.163354719186621,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
DNAJB1,4210.683457176523,-2.183022913693474,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RLIM,431.094112928237,-1.3165791269237865,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LONRF3,51.75539771931797,-3.1203526858871693,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
