perm_id,perm_auc,perm_repeat_auc_mean
539,0.45999999999999996,0.49000000000000005
540,0.38333333333333336,0.45999999999999996
541,0.48,0.5006666666666668
542,0.8666666666666667,0.776
543,0.40666666666666673,0.43066666666666675
544,0.275,0.3873333333333333
545,0.48333333333333334,0.47133333333333327
546,0.8233333333333334,0.7493333333333333
547,0.52,0.492
548,0.385,0.414
549,0.4283333333333333,0.454
550,0.8266666666666667,0.7926666666666666
551,0.7133333333333334,0.6700000000000002
552,0.43000000000000005,0.4493333333333333
553,0.4766666666666667,0.45999999999999996
554,0.47,0.4886666666666667
555,0.6,0.5973333333333334
556,0.42999999999999994,0.426
557,0.42833333333333334,0.4633333333333334
558,0.31333333333333335,0.39
559,0.6,0.6
560,0.29,0.35
561,0.2533333333333333,0.3506666666666667
562,0.4733333333333334,0.4613333333333333
563,0.6366666666666667,0.6106666666666667
564,0.3733333333333333,0.4033333333333333
565,0.6666666666666666,0.6066666666666667
566,0.3783333333333333,0.4166666666666667
567,0.4066666666666667,0.45999999999999996
568,0.44666666666666666,0.43200000000000005
569,0.33,0.38133333333333336
570,0.54,0.5326666666666667
571,0.36,0.39799999999999996
572,0.26,0.36866666666666664
573,0.73,0.7026666666666667
574,0.44333333333333336,0.42733333333333334
575,0.32166666666666666,0.3906666666666666
576,0.43666666666666665,0.4
577,0.3833333333333333,0.4253333333333334
