program,control_gene
Stress/permeabilization,MORC2
Stress/permeabilization,MRRF
Stress/permeabilization,MRTFA
Stress/permeabilization,MSN
Stress/permeabilization,MT-ND3
Stress/permeabilization,MTX3
Stress/permeabilization,MYDGF
Stress/permeabilization,MYO1B
Stress/permeabilization,N4BP2
Stress/permeabilization,NAT10
Stress/permeabilization,NBPF11
Stress/permeabilization,NDUFAB1
Stress/permeabilization,NEDD8
Stress/permeabilization,NET1
Stress/permeabilization,NFIC
Stress/permeabilization,NOL11
Stress/permeabilization,NPIPB15
Stress/permeabilization,NUDT18
Stress/permeabilization,OGDH
Stress/permeabilization,OSBPL7
Stress/permeabilization,OTUD5
Stress/permeabilization,P2RY10
Stress/permeabilization,PABPC1L
Stress/permeabilization,PARD3
Stress/permeabilization,PARP14
Stress/permeabilization,PCSK5
Stress/permeabilization,PECR
Stress/permeabilization,PHYHD1
Stress/permeabilization,PIK3R5
Stress/permeabilization,PIR
Stress/permeabilization,POU2AF1
Stress/permeabilization,PPIF
Stress/permeabilization,PPP2R2D
Stress/permeabilization,PRDX6
Stress/permeabilization,PRPF4B
Stress/permeabilization,PRRC2B
Stress/permeabilization,PTEN
Stress/permeabilization,PWWP2B
Stress/permeabilization,PXDN
Stress/permeabilization,RAB7A
Stress/permeabilization,RAB8B
Stress/permeabilization,RAD23B
Stress/permeabilization,RCN2
Stress/permeabilization,RCOR3
Stress/permeabilization,RETSAT
Stress/permeabilization,REV3L
Stress/permeabilization,RNF187
Stress/permeabilization,RNPEP
Stress/permeabilization,RPA2
Stress/permeabilization,RTN4R
Stress/permeabilization,RTP1
Stress/permeabilization,RWDD1
Stress/permeabilization,SAMD3
Stress/permeabilization,SAMD5
Stress/permeabilization,SAT2
Stress/permeabilization,SBNO1
Stress/permeabilization,SC5D
Stress/permeabilization,SCRIB
Stress/permeabilization,SEC23IP
Stress/permeabilization,SENP8
Stress/permeabilization,SEPTIN2
Stress/permeabilization,SERPING1
Stress/permeabilization,SGTA
Stress/permeabilization,SH2B1
Stress/permeabilization,SLC12A4
Stress/permeabilization,SLC38A2
Stress/permeabilization,SLC44A2
Stress/permeabilization,SLC52A2
Stress/permeabilization,SLC7A1
Stress/permeabilization,SMAD2
Stress/permeabilization,SMCR8
Stress/permeabilization,SNRNP48
Stress/permeabilization,SNRPF
Stress/permeabilization,SNU13
Stress/permeabilization,SP140L
Stress/permeabilization,SS18
Stress/permeabilization,STMN3
Stress/permeabilization,SUCLG2
Stress/permeabilization,SVEP1
Stress/permeabilization,SYMPK
Stress/permeabilization,TCEAL9
Stress/permeabilization,TDRD6
Stress/permeabilization,TEX30
Stress/permeabilization,TIGAR
Stress/permeabilization,TIMM10B
Stress/permeabilization,TLNRD1
Stress/permeabilization,TMEM143
Stress/permeabilization,TMEM184C
Stress/permeabilization,TMLHE
Stress/permeabilization,TNFSF12
Stress/permeabilization,TNKS1BP1
Stress/permeabilization,TNRC18
Stress/permeabilization,TP53INP1
Stress/permeabilization,TPM1
Stress/permeabilization,TPRKB
Stress/permeabilization,TRANK1
Stress/permeabilization,TRAPPC11
Stress/permeabilization,TRIM52
Stress/permeabilization,TRIP10
Stress/permeabilization,TRMT6
Stress/permeabilization,TRMU
Stress/permeabilization,TRPV2
Stress/permeabilization,TSKU
Stress/permeabilization,TSPAN6
Stress/permeabilization,TSPAN7
Stress/permeabilization,TXNDC15
Stress/permeabilization,UBE2L3
Stress/permeabilization,UBE3A
Stress/permeabilization,UBXN4
Stress/permeabilization,USP8
Stress/permeabilization,VCAN
Stress/permeabilization,VILL
Stress/permeabilization,VPS25
Stress/permeabilization,WDR90
Stress/permeabilization,ZFX
Stress/permeabilization,ZNF444
Stress/permeabilization,ZNF496
Stress/permeabilization,ZNF507
Stress/permeabilization,ZNF559
Stress/permeabilization,ZNF599
Stress/permeabilization,ZNF83
Stress/permeabilization,ZSCAN1
Selective clearance,AARSD1
Selective clearance,ABCG1
Selective clearance,ABHD14B
Selective clearance,ABR
Selective clearance,ABTB1
Selective clearance,AC073111.4
Selective clearance,ACADM
Selective clearance,ACO2
Selective clearance,ADAMTS2
Selective clearance,ADAR
Selective clearance,ADCY4
Selective clearance,ADCY7
Selective clearance,ADD1
Selective clearance,AGAP1
Selective clearance,AHCY
Selective clearance,AKAP1
Selective clearance,ALAS1
Selective clearance,ALDH1A1
Selective clearance,ALPL
Selective clearance,ANAPC4
Selective clearance,ANGEL2
Selective clearance,ANGPTL2
Selective clearance,ANKRD11
Selective clearance,ANKRD53
Selective clearance,ANKRD54
Selective clearance,AP2A2
Selective clearance,AP4S1
Selective clearance,APEX1
Selective clearance,APMAP
Selective clearance,ARCN1
Selective clearance,ARFGAP3
Selective clearance,ARFRP1
Selective clearance,ARMCX3
Selective clearance,ARSG
Selective clearance,ATP10A
Selective clearance,ATP6V1B2
Selective clearance,ATP6V1C1
Selective clearance,ATXN7
Selective clearance,BAG5
Selective clearance,BCL2A1
Selective clearance,BMPR2
Selective clearance,BRD1
Selective clearance,BTAF1
Selective clearance,BUD13
Selective clearance,C11orf96
Selective clearance,C17orf49
Selective clearance,C19orf38
Selective clearance,C1R
Selective clearance,C1orf21
Selective clearance,C7orf25
Selective clearance,CACNA2D4
Selective clearance,CALCOCO1
Selective clearance,CAMTA1
Selective clearance,CAPN2
Selective clearance,CAPRIN1
Selective clearance,CAPZA2
Selective clearance,CARHSP1
Selective clearance,CASP3
Selective clearance,CCDC158
Selective clearance,CCDC78
Selective clearance,CCNL1
Selective clearance,CCR10
Selective clearance,CD164
Selective clearance,CD248
Selective clearance,CD4
Selective clearance,CDC42EP3
Selective clearance,CDIPT
Selective clearance,CDKAL1
Selective clearance,CEBPD
Selective clearance,CEP95
Selective clearance,CERS2
Selective clearance,CERS5
Selective clearance,CHRNB1
Selective clearance,CHST14
Selective clearance,CHST15
Selective clearance,CHTOP
Selective clearance,CIAO1
Selective clearance,CISD2
Selective clearance,CIZ1
Selective clearance,CKB
Selective clearance,CLCN7
Selective clearance,CLDN15
Selective clearance,CLEC7A
Selective clearance,CLIC4
Selective clearance,CNKSR2
Selective clearance,COA4
Selective clearance,COG3
Selective clearance,CPLX1
Selective clearance,CRACR2A
Selective clearance,CREBRF
Selective clearance,CRTAM
Selective clearance,CSF1
Selective clearance,CSNK1G3
Selective clearance,CTNNB1
Selective clearance,CUL4B
Selective clearance,CUTA
Selective clearance,CXCL14
Selective clearance,CXCL16
Selective clearance,CYP20A1
Selective clearance,CYTH3
Selective clearance,DACT1
Selective clearance,DCAF10
Selective clearance,DCTN1
Selective clearance,DDI2
Selective clearance,DDX5
Selective clearance,DEF6
Selective clearance,DENND1A
Selective clearance,DEXI
Selective clearance,DMPK
Selective clearance,DNAJC30
Selective clearance,DNM1L
Selective clearance,DOCK8
Selective clearance,DPEP1
Selective clearance,DPYSL3
Selective clearance,DTNBP1
Selective clearance,DUSP10
Selective clearance,DYNC1I2
Selective clearance,DYRK1A
Selective clearance,EDIL3
Selective clearance,EEA1
Selective clearance,EEF1G
Selective clearance,EFEMP1
Selective clearance,EIF1
Selective clearance,EIF4A3
Selective clearance,ELK4
Selective clearance,EMP3
Selective clearance,ENTPD6
Selective clearance,ERCC6L2
Selective clearance,ERCC8
Selective clearance,ERLEC1
Selective clearance,ERO1A
Selective clearance,ETNK1
Selective clearance,ETS1
Selective clearance,EVI5
Selective clearance,EXOSC6
Selective clearance,FABP3
Selective clearance,FAM120AOS
Selective clearance,FAM13A
Selective clearance,FAM155A
Selective clearance,FAM160B1
Selective clearance,FBRS
Selective clearance,FBXO44
Selective clearance,FBXW7
Selective clearance,FIBIN
Selective clearance,FKBP11
Selective clearance,FKBP5
Selective clearance,FLOT1
Selective clearance,FOXJ2
Selective clearance,FOXRED1
Selective clearance,FTH1
Selective clearance,FUCA1
Selective clearance,FZD5
Selective clearance,G6PC3
Selective clearance,GADD45B
Selective clearance,GALNT1
Selective clearance,GATAD2B
Selective clearance,GCFC2
Selective clearance,GFPT1
Selective clearance,GLS
Selective clearance,GNG11
Selective clearance,GOPC
Selective clearance,GOSR2
Selective clearance,GPNMB
Selective clearance,GRK3
Selective clearance,GTPBP1
Selective clearance,GUK1
Selective clearance,HACE1
Selective clearance,HADH
Selective clearance,HDAC4
Selective clearance,HDLBP
Selective clearance,HIST1H1D
Selective clearance,HMBOX1
Selective clearance,HOOK3
Selective clearance,HOXB3
Selective clearance,HYI
