"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa2",60,"ADAMTS6",1.26391603907459e-06,0.969410091176509,0.0317454234474307,0.85858754191049,0.999999999970122
"hoa2",61,"ATP13A3",1.23058573678798e-06,0.960061888606621,0.0300932039447881,0.862278919053664,0.999999999970122
"hoa2",62,"ADAMTS4",1.22902263996071e-06,0.959617677437764,0.0300168033887549,0.862452108698204,0.999999999970122
"hoa2",63,"VSIR",1.22193592747664e-06,0.957597058162306,0.0296716394173129,0.863237392534336,0.999999999970122
"hoa2",64,"CD300LG",1.18694510019605e-06,0.947456206612477,0.0279966416365459,0.867116718276983,0.999999999970122
"hoa2",65,"AQP7",1.18571751628011e-06,0.947095366581608,0.0279387611928726,0.867252875435699,0.999999999970122
"hoa2",66,"IRF3",1.13246039484438e-06,0.931093387541481,0.0254853568675536,0.873163613375931,0.999999999970122
"hoa2",67,"TIPARP",1.10837479134815e-06,0.923623371492382,0.0244128202653539,0.875839099653915,0.999999999970122
"hoa2",68,"TTC21B",1.08024420883706e-06,0.914703604413982,0.023189349588974,0.878965707115367,0.999999999970122
"hoa2",69,"COX5A",9.88963586830033e-07,0.88417958368063,0.0194359277979575,0.889123961047219,0.999999999970122
"hoa2",70,"CKS2",9.88147870374407e-07,0.88389507733862,0.0194038787560777,0.889214823539341,0.999999999970122
"hoa2",71,"FLT1",9.80329135986052e-07,0.881156821135796,0.0190980266464761,0.890085824455143,0.999999999970122
"hoa2",72,"LRG1",9.70809494709426e-07,0.877795089644242,0.0187289187083556,0.891146484085246,0.999999999970122
"hoa2",73,"CDH13",9.55872036263253e-07,0.872457291687654,0.018157003930249,0.892811178155566,0.999999999970122
"hoa2",74,"FUT8",9.14594397003558e-07,0.857289640008714,0.0166227068998552,0.897413768550682,0.999999999970122
"hoa2",75,"SIPA1L2",8.81237980646007e-07,0.844556051786844,0.0154323152885856,0.901135647650364,0.999999999970122
"hoa2",76,"IER3",8.59867441140889e-07,0.836158205987026,0.0146929054442247,0.903521301402394,0.999999999970122
"hoa2",77,"ATF3",8.32271752179085e-07,0.825019649259421,0.0137649609479649,0.90660317213049,0.999999999970122
"hoa2",78,"RGS16",8.0954187743192e-07,0.815581792048252,0.0130233680303977,0.909142690212033,0.999999999970122
"hoa2",79,"CXCL3",7.66803623719977e-07,0.797142666889905,0.011684576800264,0.913920159042281,0.999999999970122
"hoa2",80,"EFNB1",7.62909459000683e-07,0.795414944264876,0.0115661993522888,0.914355623091354,0.999999999970122
"hoa2",81,"MMP2",7.28071093281947e-07,0.779579318575592,0.0105339742247632,0.918252543666918,0.999999999970122
"hoa2",82,"FAM107A",7.18641222622655e-07,0.775170782988825,0.0102628723075427,0.919307683964919,0.999999999970122
"hoa2",83,"AC010359.3",6.70605259748265e-07,0.751835272525919,0.00893672893080011,0.924684757755022,0.999999999970122
"hoa2",84,"VCP",6.53854322696162e-07,0.743327674297833,0.00849584680638659,0.926560654760193,0.999999999970122
"hoa2",85,"CALCOCO2",5.72393667981918e-07,0.698796904350981,0.00651079941650664,0.935688867630503,0.999999999970122
"hoa2",86,"NBR1",5.51062775034224e-07,0.686153925439546,0.00603457687362273,0.93808058394579,0.999999999970122
"hoa2",87,"ZNF224",5.31565872181709e-07,0.674189820508604,0.00561511758429486,0.94026715427708,0.999999999970122
"hoa2",88,"HBEGF",5.20445069529087e-07,0.667179969983537,0.0053826293039994,0.941514550878732,0.999999999970122
"hoa2",89,"FAM184A",5.05476500284573e-07,0.657519562116792,0.00507746120951305,0.943193769188467,0.999999999970122
"hoa2",90,"JAG1",5.01372084268966e-07,0.654823779222962,0.00499533907826446,0.943654259125338,0.999999999970122
"hoa2",91,"H19",4.94268499543766e-07,0.650108846837316,0.00485479102654178,0.944451281540362,0.999999999970122
"hoa2",92,"PIK3R3",4.52328322445248e-07,0.620903927231605,0.00406585829178934,0.949158077579469,0.999999999970122
"hoa2",93,"FILIP1",4.4846794686871e-07,0.618089428977186,0.0039967546695726,0.949591405409054,0.999999999970122
"hoa2",94,"CAT",4.44123545346786e-07,0.614894734776801,0.00391969495882926,0.950079083058191,0.999999999970122
"hoa2",95,"LAMA3",4.33267684186223e-07,0.606781815636291,0.00373041604134727,0.951297781241241,0.999999999970122
"hoa2",96,"DNM2",4.31674933420396e-07,0.605575497578273,0.0037030394235325,0.951476595911369,0.999999999970122
"hoa2",97,"HSPE1",4.28614869913599e-07,0.603246104375568,0.00365072518727456,0.95182014944528,0.999999999970122
"hoa2",98,"SYT11",4.21206663011496e-07,0.597541561368392,0.00352561706422871,0.952651906283109,0.999999999970122
"hoa2",99,"NDUFB8",4.0584432342185e-07,0.58540588695977,0.00327313279828923,0.954376877150865,0.999999999970122
"hoa2",100,"SOX13",4.01047125580592e-07,0.581527907756702,0.00319621135631684,0.954915577980848,0.999999999970122
"hoa2",101,"RND1",3.94235839917642e-07,0.57594635812391,0.00308856596290001,0.955680485915176,0.999999999970122
"hoa2",102,"DGKE",3.8442346495155e-07,0.56774443096821,0.00293673292280728,0.956782487997804,0.999999999970122
"hoa2",103,"TRDMT1",3.83308364427752e-07,0.566799952256085,0.00291972041880041,0.956907727278037,0.999999999970122
"hoa2",104,"TM6SF1",3.8125932350783e-07,0.565057697157015,0.00288858811600827,0.9571378621354,0.999999999970122
"hoa2",105,"KCNQ1OT1",3.74985754830631e-07,0.559668274384267,0.00279430761272808,0.957842490417956,0.999999999970122
"hoa2",106,"RRN3P1",3.70171148804205e-07,0.555474534364929,0.00272301358367008,0.958383274792887,0.999999999970122
"hoa2",107,"SOX17",3.64457153430723e-07,0.550430481544431,0.00263959703547498,0.959025104875289,0.999999999970122
"hoa2",108,"ATP5MC1",3.58133681297374e-07,0.544761208609923,0.00254879559629449,0.959735425972593,0.999999999970122
"hoa2",109,"MIR22HG",3.4656546698379e-07,0.534142385363847,0.00238679569620918,0.961034975829562,0.999999999970122
"hoa2",110,"HMOX1",3.41092066371594e-07,0.529001807929919,0.00231200042938513,0.961649882906467,0.999999999970122
"hoa2",111,"ADAMTS9",3.16770300228994e-07,0.505180552655767,0.00199403871811814,0.964382573177542,0.999999999970122
"hoa2",112,"IL32",3.09052617706365e-07,0.497262208582,0.00189805820955109,0.965249788158818,0.999999999970122
"hoa2",113,"CCND1",2.95139481209126e-07,0.482506821283066,0.00173100887043006,0.966813272596846,0.999999999970122
"hoa2",114,"CNKSR3",2.89838727054197e-07,0.476712954015985,0.00166938882350868,0.967408977106444,0.999999999970122
"hoa2",115,"MGP",2.8549202072283e-07,0.471887237898647,0.00161969269478617,0.967897478272224,0.999999999970122
"hoa2",116,"ADAMTS1",2.69487284041378e-07,0.453503998318314,0.00144318241793497,0.969696260420571,0.999999999970122
"hoa2",117,"MAP1B",2.63378883096484e-07,0.446216615369945,0.00137849938778258,0.970382828488945,0.999999999970122
"hoa2",118,"C11orf96",2.58727650713562e-07,0.440560549529655,0.00133024110760322,0.970905629422634,0.999999999970122
"hoa2",119,"PINK1",2.432991716515e-07,0.421090881025599,0.0011763212293857,0.972639886753003,0.999999999970122
"hoa2",120,"YME1L1",2.34547142166442e-07,0.409525173767516,0.00109321344841376,0.973623727519966,0.999999999970122
"hoa2",121,"ATP5F1B",2.30274445041842e-07,0.403731025660159,0.00105374654325692,0.974104048345463,0.999999999970122
"hoa2",122,"SEMA3A",2.17120953947998e-07,0.38523850826231,0.000936802737582753,0.975582773419488,0.999999999970122
"hoa2",123,"TLCD2",2.15856130773934e-07,0.383405282960496,0.000925919968844742,0.975724970268023,0.999999999970122
"hoa2",124,"EMP3",2.1509619679259e-07,0.382298989048251,0.000919411935493017,0.975810405678355,0.999999999970122
"hoa2",125,"EDN1",2.1465046446862e-07,0.381648395537687,0.000915605387451087,0.975860517165808,0.999999999970122
"hoa2",126,"SERPINE1",2.11874087665482e-07,0.377567221971995,0.000892072938941826,0.976172653657811,0.999999999970122
"hoa2",127,"CRIP1",2.00916415209982e-07,0.360954365898709,0.000802186808300104,0.977404614339837,0.999999999970122
"hoa2",128,"WDR44",1.92153963726676e-07,0.347046379690714,0.000733741983200805,0.978389807343105,0.999999999970122
"hoa2",129,"PMPCA",1.89428852251525e-07,0.342599593299899,0.000713077823220302,0.978696207928013,0.999999999970122
"hoa2",130,"PMPCB",1.77100580223989e-07,0.321701747386953,0.000623282082477358,0.980082387911165,0.999999999970122
"hoa2",131,"DUSP2",1.7596360542756e-07,0.319706260135221,0.000615304906411715,0.980210231442801,0.999999999970122
"hoa2",132,"GPRC5B",1.54254448658191e-07,0.279084459876416,0.000472846381542808,0.982651342556784,0.999999999970122
"hoa2",133,"CGAS",1.48149565907137e-07,0.266693094819205,0.000436159605035286,0.983337843374338,0.999999999970122
"hoa2",134,"ATP8A1",1.46333559516036e-07,0.262914569717487,0.000425532316778292,0.983542057705626,0.999999999970122
"hoa2",135,"TCF15",1.40862630575586e-07,0.25125949246481,0.000394308612680107,0.984157283422532,0.999999999970122
"hoa2",136,"FAN1",1.38234420483938e-07,0.24550866311012,0.000379731886337586,0.984452838511625,0.999999999970122
"hoa2",137,"TEAD1",1.3295558495367e-07,0.233641315556524,0.00035128357545779,0.985046475811186,0.999999999970122
"hoa2",138,"SOD2",1.28508623174723e-07,0.223295989791538,0.000328177812282015,0.985546570264893,0.999999999970122
"hoa2",139,"RPL32P3",1.19960172634657e-07,0.202429363497103,0.000285968922140402,0.986507923903383,0.999999999970122
"hoa2",140,"FKBP8",1.18006548446293e-07,0.197465149083946,0.000276730412324244,0.986727630112569,0.999999999970122
"hoa2",141,"CD83",1.16541358501464e-07,0.193691214837628,0.000269901207072776,0.986892407259905,0.999999999970122
"hoa2",142,"SNORD3A",1.14033022612073e-07,0.187125885652946,0.000258407995062538,0.987174499237094,0.999999999970122
"hoa2",143,"MSX1",1.11343831051586e-07,0.179934990889458,0.000246363856988321,0.98747693234926,0.999999999970122
"hoa2",144,"F8",1.10425269787242e-07,0.177441394426383,0.000242315732707567,0.987580236427949,0.999999999970122
"hoa2",145,"SLC26A2",1.09791017186274e-07,0.175708223687272,0.000239540135978834,0.987651566446827,0.999999999970122
"hoa2",146,"CCL2",1.08556354647342e-07,0.1723072582021,0.000234182898302243,0.987790420716088,0.999999999970122
"hoa2",147,"C2CD4B",1.07912003756421e-07,0.170517913804644,0.000231411100594314,0.98786288671465,0.999999999970122
"hoa2",148,"PIM1",1.02968119787751e-07,0.156445624183368,0.000210693064225986,0.988418896819952,0.999999999970122
"hoa2",149,"SYNJ2",9.86047737093801e-08,0.143488984847505,0.000193214873882717,0.988909621859801,0.999999999970122
"hoa2",150,"UQCRC2",8.96645131909655e-08,0.115170465862783,0.000159766552590983,0.989915103872793,0.999999999970122
"hoa2",151,"MCAM",8.05772108379269e-08,0.0835306297071157,0.00012902359392496,0.990937139608316,0.999999999970122
"hoa2",152,"CREB5",7.44605513243152e-08,0.0602898778563701,0.000110178579623792,0.991625079922619,0.999999999970122
"hoa2",153,"CCL23",7.37632128652696e-08,0.0575274833729523,0.000108124552708575,0.99170350994063,0.999999999970122
"hoa2",154,"VEGFC",6.93665943561931e-08,0.03952521157485,9.56192691308214e-05,0.992198001718984,0.999999999970122
"hoa2",155,"CXCR4",6.55300147786614e-08,0.0229191263692802,8.53346096265335e-05,0.992629507852333,0.999999999970122
"hoa2",156,"PGF",6.39542140446198e-08,0.0158328544344622,8.12798711584389e-05,0.992806741268645,0.999999999970122
"hoa2",157,"IKBKB",5.99771071378136e-08,-0.00280750326051766,7.14851287480827e-05,0.993254055884649,0.999999999970122
"hoa2",158,"ANKRD42",5.89303043872526e-08,-0.00790648246626188,6.90115915005012e-05,0.993371792622964,0.999999999970122
"hoa2",159,"CR381670.1",5.8641642098784e-08,-0.00932750125786297,6.83371590894414e-05,0.993404259277251,0.999999999970122
"hoa2",160,"PLEKHG2",5.7492979143588e-08,-0.0150478819106196,6.56862245887797e-05,0.993533452717572,0.999999999970122
"hoa2",161,"FMO2",5.09384486735001e-08,-0.0498975950939905,5.15627537498966e-05,0.994270662833774,0.999999999970122
"hoa2",162,"DUSP4",5.07126008064158e-08,-0.0511719654077439,5.11065356256996e-05,0.994296064794774,0.999999999970122
"hoa2",163,"PRKX",5.03384461911644e-08,-0.0532949331641505,5.03551954733072e-05,0.99433814738753,0.999999999970122
"hoa2",164,"MTOR",4.65461665463111e-08,-0.0756895529220835,4.30539014654526e-05,0.994764680372687,0.999999999970122
