"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SOX13",100,0.954915577980848,0.999999999970122,141,0.994122689066299,0.999999999988964,120.5,141
"FAN1",136,0.984452838511625,0.999999999970122,107,0.98768754931366,0.999999999988964,121.5,136
"IKBKB",157,0.993254055884649,0.999999999970122,87,0.978762163831437,0.999999999988964,122,157
"ATP8A1",134,0.983542057705626,0.999999999970122,112,0.988490546423249,0.999999999988964,123,134
"ZNF224",87,0.94026715427708,0.999999999970122,159,0.995132190720232,0.999999999988964,123,159
"ADAMTS1",116,0.969696260420571,0.999999999970122,132,0.992480712992609,0.999999999988964,124,132
"PIM1",148,0.988418896819952,0.999999999970122,103,0.985749570880093,0.999999999988964,125.5,148
"HIF1A",234,0.999896802809789,0.999999999970122,20,0.384790913806991,0.999999999988964,127,234
"IRF3",66,0.873163613375931,0.999999999970122,189,0.997878841523602,0.999999999988964,127.5,189
"SNORD3A",142,0.987174499237094,0.999999999970122,117,0.989938869359036,0.999999999988964,129.5,142
"EFNB1",80,0.914355623091354,0.999999999970122,182,0.997252986483955,0.999999999988964,131,182
"FBLN2",198,0.999649863321168,0.999999999970122,65,0.955987565955442,0.999999999988964,131.5,198
"SOD2",138,0.985546570264893,0.999999999970122,128,0.991298328401983,0.999999999988964,133,138
"MGP",115,0.967897478272224,0.999999999970122,152,0.994764146295522,0.999999999988964,133.5,152
"FUT8",74,0.897413768550682,0.999999999970122,194,0.998198833453393,0.999999999988964,134,194
"CDH13",73,0.892811178155566,0.999999999970122,199,0.998525373957822,0.999999999988964,136,199
"NDUFA1",186,0.998534934843281,0.999999999970122,89,0.979541900786668,0.999999999988964,137.5,186
"VCP",84,0.926560654760193,0.999999999970122,191,0.998011519655204,0.999999999988964,137.5,191
"PRKX",163,0.99433814738753,0.999999999970122,113,0.988961587725041,0.999999999988964,138,163
"CCL2",146,0.987790420716088,0.999999999970122,139,0.993837102521189,0.999999999988964,142.5,146
"PGF",156,0.992806741268645,0.999999999970122,129,0.991494979716952,0.999999999988964,142.5,156
"MMP2",81,0.918252543666918,0.999999999970122,204,0.99878878465111,0.999999999988964,142.5,204
"PINK1",119,0.972639886753003,0.999999999970122,167,0.995695535586562,0.999999999988964,143,167
"RRN3P1",106,0.958383274792887,0.999999999970122,181,0.997242470341609,0.999999999988964,143.5,181
"TRDMT1",103,0.956907727278037,0.999999999970122,184,0.997402961638293,0.999999999988964,143.5,184
"WWTR1",28,0.706317708921535,0.999999999970122,265,0.999931628741316,0.999999999988964,146.5,265
"SLC26A2",145,0.987651566446827,0.999999999970122,149,0.994696705502655,0.999999999988964,147,149
"NBR1",86,0.93808058394579,0.999999999970122,211,0.99925115528568,0.999999999988964,148.5,211
"VEGFC",154,0.992198001718984,0.999999999970122,148,0.994693365204883,0.999999999988964,151,154
"SOX17",107,0.959025104875289,0.999999999970122,197,0.998467695175825,0.999999999988964,152,197
"RGS16",78,0.909142690212033,0.999999999970122,228,0.99975105886204,0.999999999988964,153,228
