attempt_id,n_oob_case,n_oob_control,n_unique_train,valid,invalid_reason,candidate_auc,candidate_ap,candidate_brier,ma_auc,ma_ap,ma_brier,delta_auc,delta_ap,delta_brier,candidate_best_C,ma_best_C,candidate_n_selected
23,12,5,23,True,,0.7333333333333334,0.880417267917268,0.19827086062244997,0.6833333333333333,0.811049136049136,0.2455340891094347,0.050000000000000044,0.06936813186813207,-0.04726322848698472,0.1,0.001,6
24,12,2,26,True,,1.0,1.0,0.0717703174796704,0.9583333333333333,0.9935897435897437,0.24547888810243737,0.04166666666666674,0.0064102564102562765,-0.17370857062276696,46.41588833612773,0.001,11
25,9,3,28,True,,0.7037037037037037,0.8412257495590829,0.19470704438820208,0.888888888888889,0.9626543209876546,0.2428252059394395,-0.18518518518518523,-0.12142857142857166,-0.04811816155123741,0.1,0.001,3
26,10,3,27,True,,0.6333333333333333,0.7904365079365079,0.1319052281921455,0.4666666666666667,0.741024531024531,0.24823565432176478,0.16666666666666663,0.04941197691197685,-0.11633042612961927,0.46415888336127775,0.001,6
27,8,3,29,True,,1.0,1.0,0.007855764092934807,0.875,0.959375,0.15549772541362905,0.125,0.04062500000000002,-0.14764196132069424,21.54434690031882,0.46415888336127775,14
28,10,5,25,True,,0.64,0.7996503496503495,0.22555226101874784,0.78,0.8915190365190365,0.24426665986663573,-0.14,-0.09186868686868699,-0.018714398847887892,0.1,0.001,5
29,9,4,27,True,,0.8055555555555556,0.8969496552829888,0.12730142155905388,0.6111111111111112,0.7787477954144622,0.2469022737607069,0.19444444444444442,0.1182018598685266,-0.11960085220165301,0.46415888336127775,0.001,8
30,8,5,27,True,,0.8,0.874440836940837,0.17346951839195038,0.75,0.7972222222222223,0.24320269010224177,0.050000000000000044,0.07721861471861469,-0.06973317171029139,0.1,0.001,2
31,10,3,27,True,,0.9333333333333333,0.9809090909090908,0.07623974282919542,0.6666666666666667,0.7980122655122655,0.1009443142734982,0.2666666666666666,0.1828968253968254,-0.024704571444302784,100.0,10.0,15
32,11,4,25,True,,0.7954545454545454,0.8845566050111505,0.15502414896745664,0.8409090909090909,0.9254656959202414,0.24639170552407272,-0.045454545454545525,-0.040909090909090895,-0.09136755655661608,0.1,0.001,3
33,10,3,27,True,,0.9333333333333333,0.9809090909090908,0.09966762556878796,0.7,0.9041777666777667,0.20287539976038524,0.2333333333333334,0.07673132423132412,-0.10320777419159728,100.0,21.54434690031882,13
34,11,5,24,True,,0.7090909090909091,0.8316673225764135,0.18001397713704126,0.890909090909091,0.9406172110717566,0.2470819996517272,-0.18181818181818188,-0.10894988849534304,-0.06706802251468594,4.6415888336127775,0.001,7
35,12,3,25,True,,1.0,1.0,0.11207455576631173,0.861111111111111,0.965241702741703,0.24578676470995617,0.13888888888888895,0.034758297258297044,-0.13371220894364444,1.0,0.001,9
36,11,5,24,True,,0.9272727272727274,0.9649678604224059,0.08421418147443052,0.7818181818181817,0.8423488128033583,0.24800540545084016,0.14545454545454561,0.12261904761904763,-0.16379122397640963,4.6415888336127775,0.001,7
37,15,2,23,True,,1.0,1.0,0.009345945748693227,1.0,1.0,0.17962330114698724,0.0,0.0,-0.17027735539829403,21.54434690031882,10.0,10
