repeat,outer_fold,gene,coefficient,nonzero
1,1,TSC1,0.0,False
1,1,TSC2,0.0,False
1,1,ULK1,0.0,False
1,1,VCP,0.0,False
1,1,VDAC1,0.0,False
1,1,VDAC2,0.0,False
1,1,VDAC3,0.0,False
1,1,WWTR1,0.0,False
1,1,YAP1,0.00032474020195430393,True
1,2,AKT1,0.0,False
1,2,AMBRA1,-2.025220089621073,True
1,2,ATG5,0.0,False
1,2,ATG7,0.10562346214947001,True
1,2,BAK1,0.0,False
1,2,BAX,0.0,False
1,2,BBC3,0.0,False
1,2,BCL2,0.0,False
1,2,BCL2L1,-0.5474424728591393,True
1,2,BCL2L13,0.0,False
1,2,BID,0.13404155657790737,True
1,2,BNIP3,0.0,False
1,2,BNIP3L,0.0,False
1,2,CALCOCO2,0.0,False
1,2,CCL5,0.0,False
1,2,CHUK,0.0,False
1,2,CXCL10,0.0,False
1,2,DNM1,0.0,False
1,2,DNM1L,0.0,False
1,2,DNM2,0.0,False
1,2,EIF4EBP1,0.0,False
1,2,FIS1,0.0,False
1,2,FKBP8,-0.9134530651028743,True
1,2,FUNDC1,0.0,False
1,2,GABARAP,0.0,False
1,2,GABARAPL2,0.0,False
1,2,GDAP1,0.0,False
1,2,GIGYF1,0.0,False
1,2,GIGYF2,0.0,False
1,2,HIF1A,0.0,False
1,2,IKBKB,0.0,False
1,2,IL6,0.0,False
1,2,INF2,0.0,False
1,2,IRF3,0.0,False
1,2,IRF7,0.0,False
1,2,LATS1,0.0,False
1,2,LATS2,0.0,False
1,2,MAP1LC3B,-1.8116909969595463,True
1,2,MCL1,0.0,False
1,2,MFF,0.0,False
1,2,MFN1,0.0,False
1,2,MFN2,0.0,False
1,2,MIEF1,0.0,False
1,2,MIEF2,0.0,False
1,2,MST1,0.0,False
1,2,MTCH2,0.0,False
1,2,MTFR1,0.0,False
1,2,MTFR1L,0.2658704888668151,True
1,2,MTOR,0.0,False
1,2,NBR1,0.0,False
