task_id,n_rows,n_unique_task_fold,expanded_fraction,max_distance,mean_abs_expression_difference,mean_abs_logvariance_difference,complete_25_folds_x_77,all_folds_have_77_unique
227,1925,77,0.0,0,0.47478900797077916,0.04132011349841279,True,True
228,1925,77,0.0,0,0.47211708180194806,0.03844967612835555,True,True
229,1925,77,0.0,0,0.4831548525,0.042395743011641895,True,True
230,1925,77,0.0,0,0.4718551058928571,0.043362552807152996,True,True
231,1925,77,0.0,0,0.46290474745129867,0.03875434917799438,True,True
232,1925,77,0.0,0,0.4624901655032468,0.04104948899696205,True,True
233,1925,77,0.0,0,0.48375141097402596,0.041250769559371035,True,True
234,1925,77,0.0,0,0.48075586344155846,0.040694976768123725,True,True
235,1925,77,0.0,0,0.47425352249999997,0.03749523342382125,True,True
236,1925,77,0.0,0,0.47096092798701295,0.0409686417152777,True,True
237,1925,77,0.0,0,0.4746336816720779,0.04332075561834743,True,True
238,1925,77,0.0,0,0.4929344682792208,0.03740904958377751,True,True
239,1925,77,0.0,0,0.46660826616883117,0.03840843045262241,True,True
240,1925,77,0.0,0,0.46994289540584416,0.043669077878691905,True,True
241,1925,77,0.0,0,0.48114445749999996,0.040721075663496725,True,True
242,1925,77,0.0,0,0.4630045400487013,0.039551774143460505,True,True
243,1925,77,0.0,0,0.47845540944805204,0.044392624742476045,True,True
244,1925,77,0.0,0,0.4658582304220779,0.03919981303832964,True,True
245,1925,77,0.0,0,0.48206147538961036,0.04477648919461772,True,True
246,1925,77,0.0,0,0.483742280275974,0.038479864519114726,True,True
247,1925,77,0.0,0,0.47140584420454545,0.03991785284732761,True,True
248,1925,77,0.0,0,0.4811700723214286,0.03703292376916243,True,True
249,1925,77,0.0,0,0.4817995600649351,0.04197342116785963,True,True
250,1925,77,0.0,0,0.47193281663961034,0.0406178461638112,True,True
251,1925,77,0.0,0,0.48650735521103894,0.03883541644195579,True,True
252,1925,77,0.0,0,0.47104144612012994,0.039398506770594054,True,True
253,1925,77,0.0,0,0.4770071781168831,0.04246859652238612,True,True
254,1925,77,0.0,0,0.46563492224025965,0.04276639265839525,True,True
255,1925,77,0.0,0,0.474254678262987,0.04156892631649617,True,True
256,1925,77,0.0,0,0.45821914126623375,0.04029848453106662,True,True
257,1925,77,0.0,0,0.4684125277922078,0.04045693341112867,True,True
258,1925,77,0.0,0,0.46730062110389614,0.0419152775454083,True,True
259,1925,77,0.0,0,0.4950145555681818,0.04318156368824778,True,True
260,1925,77,0.0,0,0.46646303759740265,0.03739625898933889,True,True
261,1925,77,0.0,0,0.4800727987175325,0.04116335569421904,True,True
262,1925,77,0.0,0,0.49529440941558445,0.040270395655623244,True,True
263,1925,77,0.0,0,0.47356607439935067,0.0406236234987883,True,True
264,1925,77,0.0,0,0.4619839045292208,0.04127101680677545,True,True
265,1925,77,0.0,0,0.4738963815909091,0.04290994142423523,True,True
266,1925,77,0.0,0,0.4638129253733766,0.0420174107459326,True,True
267,1925,77,0.0,0,0.46172537532467534,0.04335204014030296,True,True
268,1925,77,0.0,0,0.47688334292207796,0.04377933358582667,True,True
269,1925,77,0.0,0,0.47998650816558436,0.03902052534282307,True,True
270,1925,77,0.0,0,0.47165049983766233,0.03925689227209872,True,True
271,1925,77,0.0,0,0.48222249702922076,0.04414939687111652,True,True
272,1925,77,0.0,0,0.467679720275974,0.04109128653241713,True,True
273,1925,77,0.0,0,0.45547133097402603,0.04413521000289616,True,True
274,1925,77,0.0,0,0.4801151298538961,0.04273209280113633,True,True
275,1925,77,0.0,0,0.4637856925162338,0.04068316135600738,True,True
276,1925,77,0.0,0,0.464169738262987,0.04053008801562242,True,True
277,1925,77,0.0,0,0.48344830777597403,0.04027415777330103,True,True
278,1925,77,0.0,0,0.46559693376623373,0.0404322586331452,True,True
279,1925,77,0.0,0,0.48628332311688316,0.04359721671680401,True,True
280,1925,77,0.0,0,0.48593591834415584,0.042402405139021764,True,True
281,1925,77,0.0,0,0.45864476016233763,0.04241214893881128,True,True
