repeat,outer_fold,model,gene,selected_probe,n_candidate_probes,training_mean_expression,tie_count,selection_rule
0,2,candidate,TMEM173,11727044_a_at,1,6.90901171875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TNF,11721577_at,1,6.5324008437500005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TSC1,11718820_at,4,7.2115427812499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TSC2,11756886_a_at,2,6.102642875000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,ULK1,11744271_a_at,1,6.471933375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,VCP,11745875_x_at,4,8.200889781250002,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,VDAC1,11715655_s_at,1,7.571178375000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,VDAC2,11748509_s_at,2,9.3870568125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,VDAC3,11754510_s_at,3,9.254507968750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,WWTR1,11755099_a_at,3,6.780304718750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,YAP1,11717924_a_at,8,4.58381275,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,ma,BID,11732218_x_at,4,8.226138500000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,ma,FTH1,11757633_x_at,2,12.2657028125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,ma,LACTB,11721387_at,2,7.48345615625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,ma,PDK3,11730952_a_at,1,5.86667028125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,3,candidate,AKT1,11716087_s_at,3,7.2312899375,1,highest outer-training mean; exact ties by lexicographic probe ID
