"profile","donor","Gene","common_rank_original","rank_percentile_original","p_value_original","common_adjusted_p_value_original","common_rank_mt_excluded","rank_percentile_mt_excluded","p_value_mt_excluded","common_adjusted_p_value_mt_excluded","rank_percentile_shift"
"manuscript","hoa2","INMT",224,0.761092150170648,0.997615196466224,0.999999999996351,237,0.805460750853242,0.999904604754272,0.999999999970122,0.0443686006825939
"manuscript","hoa2","IRF3",44,0.146757679180887,0.89611078186139,0.999999999996351,65,0.218430034129693,0.873163613375931,0.999999999970122,0.0716723549488055
"manuscript","hoa2","IRF7",291,0.989761092150171,0.999999999994992,0.999999999996351,294,1,0.999999999970122,0.999999999970122,0.0102389078498294
"manuscript","hoa2","ISG15",242,0.822525597269625,0.998853892563273,0.999999999996351,220,0.747440273037543,0.999859997464754,0.999999999970122,-0.0750853242320819
"manuscript","hoa2","JAG1",111,0.37542662116041,0.979551020257325,0.999999999996351,89,0.300341296928328,0.943654259125338,0.999999999970122,-0.0750853242320819
"manuscript","hoa2","JAG2",193,0.655290102389078,0.995368996345222,0.999999999996351,39,0.129692832764505,0.786608734747884,0.999999999970122,-0.525597269624573
"manuscript","hoa2","KCNQ1OT1",42,0.139931740614334,0.895683258024682,0.999999999996351,104,0.351535836177474,0.957842490417956,0.999999999970122,0.21160409556314
"manuscript","hoa2","KDM6B",18,0.0580204778156997,0.733695606798766,0.999999999996351,24,0.0784982935153584,0.690022925449149,0.999999999970122,0.0204778156996587
"manuscript","hoa2","KDR",5,0.0136518771331058,0.554632363800291,0.999999999996351,34,0.112627986348123,0.736443402043378,0.999999999970122,0.0989761092150171
"manuscript","hoa2","KEAP1",154,0.522184300341297,0.990235834527289,0.999999999996351,258,0.877133105802048,0.99995109416006,0.999999999970122,0.354948805460751
"manuscript","hoa2","KIAA0040",156,0.52901023890785,0.990597092811873,0.999999999996351,183,0.621160409556314,0.997701468459884,0.999999999970122,0.0921501706484642
"manuscript","hoa2","LAMA3",188,0.638225255972696,0.99459847243624,0.999999999996351,94,0.31740614334471,0.951297781241241,0.999999999970122,-0.320819112627986
"manuscript","hoa2","LATS1",210,0.713310580204778,0.996756702432127,0.999999999996351,279,0.948805460750853,0.999979873227027,0.999999999970122,0.235494880546075
"manuscript","hoa2","LATS2",266,0.904436860068259,0.999673459409467,0.999999999996351,167,0.566552901023891,0.995125420163521,0.999999999970122,-0.337883959044369
"manuscript","hoa2","LCN6",200,0.679180887372014,0.996136804531929,0.999999999996351,207,0.703071672354949,0.999787420492707,0.999999999970122,0.0238907849829352
"manuscript","hoa2","LEPR",168,0.569965870307167,0.992072680944909,0.999999999996351,53,0.177474402730375,0.842204017448168,0.999999999970122,-0.392491467576792
"manuscript","hoa2","LGALS1",169,0.573378839590444,0.992308010238213,0.999999999996351,191,0.648464163822526,0.999268966706138,0.999999999970122,0.0750853242320819
"manuscript","hoa2","LINC00472",43,0.143344709897611,0.895801868920168,0.999999999996351,37,0.122866894197952,0.7673771208387,0.999999999970122,-0.0204778156996587
"manuscript","hoa2","LONP1",293,0.996587030716723,0.999999999996057,0.999999999996351,276,0.938566552901024,0.999977874524085,0.999999999970122,-0.0580204778156996
"manuscript","hoa2","LRG1",25,0.0819112627986348,0.805447165977063,0.999999999996351,71,0.238907849829352,0.891146484085246,0.999999999970122,0.156996587030717
"manuscript","hoa2","LTBP4",77,0.25938566552901,0.962685962066163,0.999999999996351,48,0.160409556313993,0.826804951171256,0.999999999970122,-0.098976109215017
"manuscript","hoa2","MAP1B",133,0.450511945392491,0.986526998293664,0.999999999996351,116,0.392491467576792,0.970382828488945,0.999999999970122,-0.0580204778156996
"manuscript","hoa2","MAP1LC3B",40,0.133105802047782,0.87914198062507,0.999999999996351,46,0.15358361774744,0.817675853776604,0.999999999970122,0.0204778156996587
"manuscript","hoa2","MCAM",187,0.63481228668942,0.994567478664256,0.999999999996351,150,0.508532423208191,0.990937139608316,0.999999999970122,-0.126279863481229
