Gene,rank_manuscript_hoa2,p_value_manuscript_hoa2,adjusted_p_value_manuscript_hoa2,rank_manuscript_hoa3,p_value_manuscript_hoa3,adjusted_p_value_manuscript_hoa3,rank_official_default_hoa2,p_value_official_default_hoa2,adjusted_p_value_official_default_hoa2,rank_official_default_hoa3,p_value_official_default_hoa3,adjusted_p_value_official_default_hoa3,mean_rank_across_profiles_and_donors,max_rank_across_profiles_and_donors,fdr_significant_all_profiles_and_donors,top10_all_profiles_and_donors
TMEM173,250,0.999012705032442,0.999999999996351,135,0.994012319956962,0.999999999992947,194,0.998968918145934,0.999999999988552,102,0.993966216127612,0.999999999994531,170.25,250,False,False
AQP7,214,0.996636839204519,0.999999999996351,207,0.998637014552541,0.999999999992947,55,0.985626362608994,0.999999999988552,206,0.99943551170547,0.999999999994531,170.5,214,False,False
GABPA,90,0.968649458591587,0.999999999996351,203,0.998555364305787,0.999999999992947,131,0.996683857262455,0.999999999988552,260,0.99989530598615,0.999999999994531,171.0,260,False,False
CCN1,219,0.996939703429336,0.999999999996351,185,0.99781489113945,0.999999999992947,173,0.998410906686721,0.999999999988552,109,0.995112490324181,0.999999999994531,171.5,219,False,False
RPL32P3,55,0.908353355021826,0.999999999996351,252,0.999818637122606,0.999999999992947,189,0.998862419913267,0.999999999988552,191,0.999190437393902,0.999999999994531,171.75,252,False,False
SNORD3A,181,0.993015254703607,0.999999999996351,136,0.994020286368162,0.999999999992947,198,0.998998466140308,0.999999999988552,172,0.998562628794747,0.999999999994531,171.75,198,False,False
IFIT1,212,0.996471806882177,0.999999999996351,127,0.993286389920876,0.999999999992947,247,0.999646517495581,0.999999999988552,106,0.994498998266736,0.999999999994531,173.0,247,False,False
ERO1B,96,0.971893709752653,0.999999999996351,132,0.993701494290066,0.999999999992947,251,0.999662884767047,0.999999999988552,220,0.999592512672672,0.999999999994531,174.75,251,False,False
PIK3R3,197,0.995248289099156,0.999999999996351,128,0.993535652303984,0.999999999992947,241,0.99957536946732,0.999999999988552,133,0.996560648137483,0.999999999994531,174.75,241,False,False
SLC6A6,210,0.996394610643268,0.999999999996351,160,0.996117818234133,0.999999999992947,172,0.998383155705162,0.999999999988552,158,0.998059142461818,0.999999999994531,175.0,210,False,False
BID,265,0.999462871111193,0.999999999996351,99,0.985484240803103,0.999999999992947,191,0.99886290339696,0.999999999988552,146,0.997664788567546,0.999999999994531,175.25,265,False,False
SYT11,205,0.996087031324332,0.999999999996351,108,0.989736429445544,0.999999999992947,243,0.99959535181697,0.999999999988552,147,0.997667176385134,0.999999999994531,175.75,243,False,False
EDNRB,243,0.998574898309277,0.999999999996351,122,0.9919093349116,0.999999999992947,217,0.999321134032365,0.999999999988552,123,0.995929525063363,0.999999999994531,176.25,243,False,False
ACE,213,0.996521335352064,0.999999999996351,153,0.99571359018315,0.999999999992947,166,0.998245164418514,0.999999999988552,178,0.998684627113166,0.999999999994531,177.5,213,False,False
GPRC5A,237,0.99818960539403,0.999999999996351,134,0.993963862280945,0.999999999992947,215,0.999296092422162,0.999999999988552,124,0.995999862895702,0.999999999994531,177.5,237,False,False
SLC4A7,251,0.99906270368865,0.999999999996351,118,0.991527148610525,0.999999999992947,231,0.999486390538495,0.999999999988552,119,0.995608249432669,0.999999999994531,179.75,251,False,False
TTC21B,172,0.991900286666442,0.999999999996351,184,0.997806710175076,0.999999999992947,165,0.998236145865963,0.999999999988552,201,0.999364164521038,0.999999999994531,180.5,201,False,False
TNFRSF4,201,0.99579356718006,0.999999999996351,215,0.998910246127217,0.999999999992947,124,0.995881439594901,0.999999999988552,185,0.998974617303721,0.999999999994531,181.25,215,False,False
VCP,118,0.980161641866189,0.999999999996351,162,0.996187072489847,0.999999999992947,171,0.998380147368258,0.999999999988552,274,0.999945814625582,0.999999999994531,181.25,274,False,False
RASGEF1B,284,0.999860203379176,0.999999999996351,92,0.983340495199713,0.999999999992947,291,0.999956219699248,0.999999999988552,63,0.982088445448342,0.999999999994531,182.5,291,False,False
VDAC2,179,0.992964828564189,0.999999999996351,191,0.998152328626047,0.999999999992947,122,0.995858936097643,0.999999999988552,239,0.999722444459242,0.999999999994531,182.75,239,False,False
BAX,144,0.987741536560607,0.999999999996351,237,0.999562065286105,0.999999999992947,214,0.999295893799536,0.999999999988552,139,0.996939100847777,0.999999999994531,183.5,237,False,False
FLT1,65,0.927558685236726,0.999999999996351,261,0.99990078554624,0.999999999992947,184,0.998703136015176,0.999999999988552,224,0.999624627147575,0.999999999994531,183.5,261,False,False
FKBP8,34,0.819616379959725,0.999999999996351,276,0.999970651274114,0.999999999992947,185,0.998767155976872,0.999999999988552,241,0.999729836916907,0.999999999994531,184.0,276,False,False
INMT,230,0.997615196466224,0.999999999996351,231,0.999485786885163,0.999999999992947,148,0.99759629758442,0.999999999988552,127,0.99617059206285,0.999999999994531,184.0,231,False,False
CYP1B1,84,0.964272389751799,0.999999999996351,251,0.999804671358904,0.999999999992947,175,0.998430234553657,0.999999999988552,228,0.99966618602436,0.999999999994531,184.5,251,False,False
MT1X,110,0.976323256645161,0.999999999996351,281,0.999982501326837,0.999999999992947,92,0.993220979322701,0.999999999988552,255,0.999872278869555,0.999999999994531,184.5,281,False,False
CGAS,295,0.999991343287907,0.999999999996351,95,0.984652236059495,0.999999999992947,297,0.999984196018882,0.999999999988552,56,0.97756145491979,0.999999999994531,185.75,297,False,False
TIMP4,182,0.993036709134918,0.999999999996351,159,0.996044079995869,0.999999999992947,199,0.999007401226018,0.999999999988552,203,0.999422086151743,0.999999999994531,185.75,203,False,False
MEOX2,276,0.999718572627477,0.999999999996351,93,0.983811825944789,0.999999999992947,213,0.999261045124685,0.999999999988552,175,0.998642776807522,0.999999999994531,189.25,276,False,False
F2RL3,298,0.999999999995637,0.999999999996351,101,0.986682838861939,0.999999999992947,299,0.999999999896532,0.999999999988552,62,0.981575333625021,0.999999999994531,190.0,299,False,False
HLA-DQA1,186,0.993297536450774,0.999999999996351,186,0.997835065366348,0.999999999992947,179,0.9985713300072,0.999999999988552,216,0.999569091069487,0.999999999994531,191.75,216,False,False
DLL4,278,0.999760064104544,0.999999999996351,121,0.991760815071178,0.999999999992947,266,0.999764513591002,0.999999999988552,114,0.995289064775465,0.999999999994531,194.75,278,False,False
DUSP4,106,0.975497100937927,0.999999999996351,263,0.999924852579059,0.999999999992947,135,0.99696453533739,0.999999999988552,276,0.999948105456674,0.999999999994531,195.0,276,False,False
GBP1,121,0.980535954434753,0.999999999996351,206,0.998578513273703,0.999999999992947,235,0.999533077549402,0.999999999988552,218,0.999583781625738,0.999999999994531,195.0,235,False,False
