"profile","model_variant","donor","pathway","n_nuclear_genes","nuclear_genes","observed_mean_common_rank","empirical_p","null_model","empirical_fdr"
"official_default","original","hoa2","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",184.736842105263,0.99930003499825,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",204.181818181818,0.995950202489876,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",128.846153846154,0.883405829708515,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",142.909090909091,0.940902954852257,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",158.375,0.819759012049397,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",217.25,0.991850407479626,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",106.375,0.5981200939953,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",86.8571428571429,0.28393580320984,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa2","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",202.923076923077,0.991900404979751,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
"official_default","original","hoa3","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",186.333333333333,0.900804959752012,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
