"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SERPINE1",43,0.870628727874287,0.999999999996351,39,0.81514983922116,0.999999999992947,41,43
"VCAN",58,0.910438501506396,0.999999999996351,24,0.669938383595444,0.999999999992947,41,58
"SLC25A44",26,0.78124694120034,0.999999999996351,59,0.916513405266223,0.999999999992947,42.5,59
"SOD2",33,0.816173100630084,0.999999999996351,54,0.885621133884094,0.999999999992947,43.5,54
"AKAP12",32,0.806668010431437,0.999999999996351,55,0.895321575844958,0.999999999992947,43.5,55
"MAP1LC3B",46,0.87914198062507,0.999999999996351,44,0.844219954951752,0.999999999992947,45,46
"ICAM4",21,0.694644339497901,0.999999999996351,69,0.961027767370414,0.999999999992947,45,69
"FIS1",18,0.668710287886948,0.999999999996351,72,0.967368984482161,0.999999999992947,45,72
"HBEGF",62,0.925270850791,0.999999999996351,32,0.771115153494712,0.999999999992947,47,62
"C2CD4B",63,0.925519234368921,0.999999999996351,31,0.760488383413232,0.999999999992947,47,63
"PECAM1",38,0.846349943791768,0.999999999996351,57,0.899447529902444,0.999999999992947,47.5,57
"CAT",36,0.835907889027972,0.999999999996351,62,0.935998098456342,0.999999999992947,49,62
"ADAMTS9",56,0.908566638423816,0.999999999996351,49,0.871656497121595,0.999999999992947,52.5,56
"ATP5MC1",77,0.95482097989204,0.999999999996351,29,0.739377304984942,0.999999999992947,53,77
"ATF3",39,0.853232805244475,0.999999999996351,68,0.951795869579112,0.999999999992947,53.5,68
"NR4A1",19,0.675685487184511,0.999999999996351,88,0.98146452372622,0.999999999992947,53.5,88
"MT2A",53,0.904123691778485,0.999999999996351,60,0.921655890150526,0.999999999992947,56.5,60
"BMP4",73,0.945083861714226,0.999999999996351,41,0.837402861652397,0.999999999992947,57,73
"EGR3",35,0.822341785114794,0.999999999996351,79,0.975465874032671,0.999999999992947,57,79
"NSUN6",17,0.665006821948534,0.999999999996351,98,0.985267512305311,0.999999999992947,57.5,98
"HMOX1",61,0.919463140975581,0.999999999996351,56,0.897970318863589,0.999999999992947,58.5,61
"CXCL3",30,0.798536569529548,0.999999999996351,90,0.982039442528098,0.999999999992947,60,90
"KCNQ1OT1",48,0.895683258024682,0.999999999996351,74,0.971987852127056,0.999999999992947,61,74
"HSPE1",88,0.966615136685956,0.999999999996351,35,0.78852081603356,0.999999999992947,61.5,88
"MSX1",75,0.953083270438305,0.999999999996351,51,0.872959487596729,0.999999999992947,63,75
"NFE2L2",102,0.974007586679073,0.999999999996351,28,0.732810198342029,0.999999999992947,65,102
"CCL2",67,0.940022907175599,0.999999999996351,67,0.949925646386933,0.999999999992947,67,67
"SEMA4A",27,0.793989266351243,0.999999999996351,110,0.989918517329693,0.999999999992947,68.5,110
"CD300LG",54,0.906601589487548,0.999999999996351,85,0.979606494281592,0.999999999992947,69.5,85
"NDUFA1",79,0.96079638153548,0.999999999996351,61,0.933581348010667,0.999999999992947,70,79
"MIR22HG",95,0.970836205799754,0.999999999996351,46,0.859845850456353,0.999999999992947,70.5,95
"RGS16",45,0.876834332004641,0.999999999996351,97,0.98475691703152,0.999999999992947,71,97
"CALCOCO2",113,0.976623426789838,0.999999999996351,30,0.751620616984491,0.999999999992947,71.5,113
"B3GNT5",105,0.974908189400212,0.999999999996351,43,0.843037141835056,0.999999999992947,74,105
"PRDX2",125,0.981988392936813,0.999999999996351,23,0.65698143259857,0.999999999992947,74,125
"CR381670.1",86,0.964934737733408,0.999999999996351,64,0.941238019231284,0.999999999992947,75,86
"PRDX5",59,0.913423626363277,0.999999999996351,96,0.984668763746319,0.999999999992947,77.5,96
"SEMA3A",119,0.980229984882926,0.999999999996351,38,0.812503566700554,0.999999999992947,78.5,119
"HIF1A",128,0.982168788795978,0.999999999996351,33,0.771983548619415,0.999999999992947,80.5,128
