"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa3",164,"SLC26A2",2.03697398079896e-07,-0.125183375224332,2.20912794407887e-05,0.99624984777277,0.999999999992947
"hoa3",165,"MTCH2",1.92709489920964e-07,-0.140697957054065,1.97722507642959e-05,0.996452138274862,0.999999999992947
"hoa3",166,"SOX17",1.88615807038634e-07,-0.146681856273645,1.89411384442485e-05,0.996527504195477,0.999999999992947
"hoa3",167,"AC002558.3",1.87820144985402e-07,-0.147858425116185,1.87816718765139e-05,0.996542152574374,0.999999999992947
"hoa3",168,"FILIP1",1.85975889077861e-07,-0.150602883641655,1.84146383144419e-05,0.996576105887552,0.999999999992947
"hoa3",169,"RND1",1.84726979243129e-07,-0.152475312191095,1.81681439820833e-05,0.99659909870166,0.999999999992947
"hoa3",170,"OPTN",1.61918573628626e-07,-0.188838982791129,1.3958644438986e-05,0.997019008940249,0.999999999992947
"hoa3",171,"GPRC5B",1.54876975634817e-07,-0.200997585745141,1.27709623556993e-05,0.997148647244282,0.999999999992947
"hoa3",172,"SIPA1L2",1.49056550315134e-07,-0.211428299721031,1.18291091165157e-05,0.997255803385407,0.999999999992947
"hoa3",173,"LEPR",1.48548157664572e-07,-0.212356666123844,1.17485547721978e-05,0.99726516308087,0.999999999992947
"hoa3",174,"MCAM",1.4729992219203e-07,-0.214648204005979,1.15519404360594e-05,0.997288143556071,0.999999999992947
"hoa3",175,"YME1L1",1.45186286870228e-07,-0.218568523086328,1.12227968794547e-05,0.997327056366639,0.999999999992947
"hoa3",176,"SOX13",1.44645209449077e-07,-0.219580336114953,1.11393029507971e-05,0.997337017803762,0.999999999992947
"hoa3",177,"UQCRC2",1.31497501238758e-07,-0.245274648288694,9.20629541611096e-06,0.997579072139357,0.999999999992947
"hoa3",178,"PARL",1.3019364608895e-07,-0.247947042274197,9.02463166230271e-06,0.997603076623744,0.999999999992947
"hoa3",179,"AC010359.3",1.27148720111362e-07,-0.254282773638722,8.60743777620706e-06,0.997659134912937,0.999999999992947
"hoa3",180,"PDGFB",1.25410038351727e-07,-0.25796190699777,8.3736442732879e-06,0.997691144735655,0.999999999992947
"hoa3",181,"KDR",1.24855887970385e-07,-0.259144142889674,8.29980638511869e-06,0.997701346865361,0.999999999992947
"hoa3",182,"DGKE",1.2471729708558e-07,-0.259440551964989,8.28139092836487e-06,0.997703898378926,0.999999999992947
"hoa3",183,"ULK1",1.20460419528776e-07,-0.268692094484969,7.72571438987868e-06,0.997782269206964,0.999999999992947
"hoa3",184,"TTC21B",1.19132856806202e-07,-0.271637393123663,7.55636658113766e-06,0.997806710175076,0.999999999992947
"hoa3",185,"CCN1",1.18688490499764e-07,-0.272629838672322,7.5001011225581e-06,0.99781489113945,0.999999999992947
"hoa3",186,"HLA-DQA1",1.17592684938583e-07,-0.275091537386184,7.36224929475e-06,0.997835065366348,0.999999999992947
"hoa3",187,"GIGYF1",1.12138248212168e-07,-0.287659972842882,6.69510574588091e-06,0.997935483789385,0.999999999992947
"hoa3",188,"COX7A2",1.0841544330947e-07,-0.296557403231424,6.25795168765438e-06,0.998004022177361,0.999999999992947
"hoa3",189,"IRF3",1.04100612615038e-07,-0.307219686709385,5.7697431018142e-06,0.998083460025003,0.999999999992947
"hoa3",190,"RGS2",1.00902144867102e-07,-0.31538257010907,5.42064170649026e-06,0.998142345173629,0.999999999992947
"hoa3",191,"VDAC2",1.00359873206469e-07,-0.316789494217212,5.36253468188928e-06,0.998152328626047,0.999999999992947
"hoa3",192,"AKT1",9.88917047528763e-08,-0.320633201758366,5.20678485820461e-06,0.998179358234535,0.999999999992947
"hoa3",193,"GABARAPL2",9.80466377444647e-08,-0.32286890856931,5.11817718515694e-06,0.998194916280155,0.999999999992947
