"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"FAM107A",86,0.9480042413649,0.99999999999946,127,0.992525979710313,0.99999999999986,106.5,127
"HSPE1",155,0.992324394876355,0.99999999999946,58,0.95663467543214,0.99999999999986,106.5,155
"H19",89,0.954048556843087,0.99999999999946,125,0.992320937436312,0.99999999999986,107,125
"NSUN6",24,0.776685302601124,0.99999999999946,192,0.99813079587502,0.99999999999986,108,192
"LAMA3",97,0.963916568297436,0.99999999999946,120,0.990951566463638,0.99999999999986,108.5,120
"ARL15",65,0.916951043790012,0.99999999999946,157,0.995495371644328,0.99999999999986,111,157
"MAP1LC3B",105,0.972854990977579,0.99999999999946,118,0.990742044082791,0.99999999999986,111.5,118
"PLEKHG2",132,0.984027438202928,0.99999999999946,91,0.984608002239758,0.99999999999986,111.5,132
"DGKE",120,0.979071268031993,0.99999999999946,104,0.987528535311753,0.99999999999986,112,120
"PIK3R3",123,0.98023520146315,0.99999999999946,101,0.986701202532166,0.99999999999986,112,123
"PIM1",138,0.987962910126868,0.99999999999946,86,0.983144012597808,0.99999999999986,112,138
"PHLDA1",178,0.995888897460377,0.99999999999946,46,0.937419203428205,0.99999999999986,112,178
"IKBKB",142,0.990325725473145,0.99999999999946,83,0.981871991853068,0.99999999999986,112.5,142
"SRGN",44,0.858880492259879,0.99999999999946,181,0.997133069341414,0.99999999999986,112.5,181
"CCL23",143,0.990630014497323,0.99999999999946,84,0.982598069043776,0.99999999999986,113.5,143
"BMP4",156,0.992417287205452,0.99999999999946,71,0.972370535879943,0.99999999999986,113.5,156
"GPRC5B",133,0.984249180042594,0.99999999999946,98,0.986117502212334,0.99999999999986,115.5,133
"F8",163,0.993813931221891,0.99999999999946,68,0.969878788849567,0.99999999999986,115.5,163
"SLC6A6",52,0.878166461416225,0.99999999999946,179,0.997047498920944,0.99999999999986,115.5,179
"CXCL3",42,0.8481294231752,0.99999999999946,189,0.997891547572198,0.99999999999986,115.5,189
"EMP3",111,0.974300463630632,0.99999999999946,124,0.99215526373103,0.99999999999986,117.5,124
"CR381670.1",183,0.99631485980087,0.99999999999946,52,0.948675928757842,0.99999999999986,117.5,183
"VCAM1",162,0.993735195982501,0.99999999999946,76,0.978965486308792,0.99999999999986,119,162
"FUT8",84,0.945283737983648,0.99999999999946,158,0.995634908420654,0.99999999999986,121,158
"COX5A",127,0.981428865254267,0.99999999999946,116,0.990516647975009,0.99999999999986,121.5,127
"RASGEF1B",166,0.994432692166382,0.99999999999946,77,0.979130224519482,0.99999999999986,121.5,166
"MMP2",69,0.920704627961296,0.99999999999946,174,0.996588068647137,0.99999999999986,121.5,174
"RGS16",63,0.911547091222621,0.99999999999946,185,0.997394758227945,0.99999999999986,124,185
"MET",202,0.997770818395761,0.99999999999946,48,0.944049217598301,0.99999999999986,125,202
"TM6SF1",93,0.960385183912462,0.99999999999946,159,0.995776578096746,0.99999999999986,126,159
"EDN1",122,0.979642974073703,0.99999999999946,135,0.993277562341325,0.99999999999986,128.5,135
"SOX13",87,0.948341944571231,0.99999999999946,171,0.996358424066643,0.99999999999986,129,171
"SNORD3A",164,0.993864986572018,0.99999999999946,97,0.985758045378256,0.99999999999986,130.5,164
"ANKRD42",134,0.984288825918861,0.99999999999946,128,0.992650031104792,0.99999999999986,131,134
"ADAMTS1",71,0.923811774111553,0.99999999999946,191,0.998090952718633,0.99999999999986,131,191
"FKBP8",99,0.9659607837859,0.99999999999946,164,0.996073587879599,0.99999999999986,131.5,164
"TCF15",131,0.983715101196615,0.99999999999946,133,0.993027901515418,0.99999999999986,132,133
"JAG1",98,0.964051392881925,0.99999999999946,166,0.996223899165727,0.99999999999986,132,166
"HIF1A",233,0.999291581279684,0.99999999999946,31,0.895606318529729,0.99999999999986,132,233
"LGALS1",104,0.972037592259082,0.99999999999946,168,0.996274431912584,0.99999999999986,136,168
"ISG15",159,0.993254164449748,0.99999999999946,117,0.990741382760972,0.99999999999986,138,159
"FBLN2",198,0.997518344130037,0.99999999999946,79,0.981002350022377,0.99999999999986,138.5,198
"NBR1",135,0.985929450389533,0.99999999999946,147,0.994834100212155,0.99999999999986,141,147
"SEMA3A",210,0.998198337121371,0.99999999999946,74,0.974127758847061,0.99999999999986,142,210
"SLC26A2",137,0.987629766274326,0.99999999999946,148,0.994896700842497,0.99999999999986,142.5,148
"VDAC2",119,0.978960041448786,0.99999999999946,167,0.996226587370715,0.99999999999986,143,167
"ATP8A1",139,0.988044205399042,0.99999999999946,150,0.995261029137059,0.99999999999986,144.5,150
"MCAM",154,0.99226577277288,0.99999999999946,137,0.993473017279736,0.99999999999986,145.5,154
"LRG1",35,0.841094502715697,0.99999999999946,258,0.999846889682236,0.99999999999986,146.5,258
"CREB5",205,0.997945091628498,0.99999999999946,90,0.984489207619427,0.99999999999986,147.5,205
"SIPA1L2",94,0.961109995207378,0.99999999999946,203,0.998774100707596,0.99999999999986,148.5,203
"MAP1B",125,0.980785762888498,0.99999999999946,175,0.996672945298192,0.99999999999986,150,175
"TNFRSF4",152,0.992133502677944,0.99999999999946,149,0.994915981072061,0.99999999999986,150.5,152
"IRF3",114,0.976555128567653,0.99999999999946,188,0.997887400643823,0.99999999999986,151,188
"UQCRC2",113,0.975350757178211,0.99999999999946,190,0.997924076633067,0.99999999999986,151.5,190
"CCND1",95,0.963283416692971,0.99999999999946,213,0.999213574831705,0.99999999999986,154,213
"MGP",115,0.977409280351044,0.99999999999946,194,0.998159004568526,0.99999999999986,154.5,194
"GPRC5A",148,0.991197405202086,0.99999999999946,162,0.995990175554344,0.99999999999986,155,162
"PMPCB",126,0.980954142475161,0.99999999999946,184,0.997333060957323,0.99999999999986,155,184
"TFAM",158,0.993092231691742,0.99999999999946,155,0.995430588837033,0.99999999999986,156.5,158
"PRKX",153,0.992147259882186,0.99999999999946,161,0.995950687450847,0.99999999999986,157,161
"TRAP1",169,0.995140049089356,0.99999999999946,146,0.994784224272484,0.99999999999986,157.5,169
"PINK1",175,0.995534096965437,0.99999999999946,140,0.994047525413386,0.99999999999986,157.5,175
"VDAC3",130,0.98368528292887,0.99999999999946,186,0.997401180122937,0.99999999999986,158,186
"PHB2",197,0.997503043704449,0.99999999999946,119,0.990944350741509,0.99999999999986,158,197
"MEOX2",227,0.999121638997132,0.99999999999946,94,0.985117400975696,0.99999999999986,160.5,227
